,2010,2015,2020
COA_SUB_LN,0.119,0.762,0.348
COA_SC_LN,0.0,0.0,0.0
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,0.848,3.812,0.192
GAS_CC,0.23,0.114,0.119
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,0.056,0.058,0.055
REW_HYD_LG,0.042,0.042,0.042
REW_HYD_PS,0.0,0.0,0.0
REW_WND_ON_3035,0.051,0.048,0.048
REW_WND_ON_3540,0.0,0.037,0.037
REW_WND_ON_40UP,0.0,0.033,0.033
REW_PV_UTI,0.0,0.171,0.171
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
REW_GEO_FLA,0.0,0.0,0.0
REW_GEO_BIN,0.028,0.028,0.028
REW_GEO_EGS,0.0,0.0,0.0
BIO_ST,0.0,0.0,0.0
BIO_CHP,0.253,0.288,0.333
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,0.086,0.119,0.146
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,0.102,0.103,0.123
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0,0.11
OIL_ST,0.0,0.0,0.0
