,2010,2015,2020
COA_SUB_LN,417.041,207.08,144.784
COA_SC_LN,0.0,0.0,0.0
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,71.033,63.051,298.27
GAS_CC,38.223,161.5,258.264
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,989.866,989.662,1003.3
REW_HYD_LG,206.914,206.914,137.943
REW_HYD_PS,44.808,44.808,44.808
REW_WND_ON_3035,89.746,125.732,125.732
REW_WND_ON_3540,0.0,108.315,108.315
REW_WND_ON_40UP,0.0,108.674,108.674
REW_PV_UTI,0.0,52.758,52.758
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
REW_GEO_FLA,0.0,0.0,0.0
REW_GEO_BIN,51.53,51.53,51.53
REW_GEO_EGS,0.0,0.0,0.0
BIO_ST,60.589,60.589,60.589
BIO_CHP,156.968,229.085,301.378
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,200.086,275.623,169.362
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,118.174,118.795,142.229
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0,168.999
OIL_ST,63.031,31.515,31.515
