,2010,2015,2020
1,616.41,690.25,660.89
2,589.17,690.25,660.89
3,572.84,671.34,660.89
4,554.55,649.91,660.89
5,560.85,657.29,660.89
6,608.53,690.25,660.89
7,687.84,690.25,660.89
8,690.25,690.25,660.89
9,690.25,690.25,660.89
10,690.25,690.25,660.89
11,690.25,690.25,660.89
12,690.25,690.25,660.89
13,690.25,690.25,660.89
14,690.25,690.25,660.89
15,690.25,690.25,660.89
16,690.25,690.25,660.89
17,690.25,690.25,660.89
18,690.25,690.25,660.89
19,690.25,690.25,660.89
20,690.25,690.25,660.89
21,690.25,690.25,660.89
22,690.25,690.25,660.89
23,690.25,690.25,660.89
24,654.13,690.25,660.89
25,589.28,690.25,660.89
26,560.59,656.99,660.89
27,542.44,635.71,660.89
28,519.87,609.26,660.89
29,515.59,604.25,660.89
30,529.13,620.12,660.89
31,536.3,628.52,660.89
32,584.74,685.29,660.89
33,624.8,690.25,660.89
34,664.58,690.25,660.89
35,690.25,690.25,660.89
36,690.25,690.25,660.89
37,682.34,690.25,660.89
38,666.7,690.25,660.89
39,653.53,690.25,660.89
40,649.96,690.25,660.89
41,671.01,690.25,660.89
42,690.25,690.25,660.89
43,690.25,690.25,660.89
44,690.25,690.25,660.89
45,665.86,690.25,660.89
46,626.38,690.25,660.89
47,648.45,690.25,660.89
48,611.8,690.25,660.89
49,521.85,611.59,660.89
50,490.68,575.06,659.44
51,477.83,560.0,642.16
52,465.09,545.07,625.05
53,477.15,559.2,641.25
54,534.01,625.84,660.89
55,619.12,690.25,660.89
56,688.62,690.25,660.89
57,690.25,690.25,660.89
58,690.25,690.25,660.89
59,690.25,690.25,660.89
60,690.25,690.25,660.89
61,690.25,690.25,660.89
62,690.25,690.25,660.89
63,690.25,690.25,660.89
64,690.25,690.25,660.89
65,679.06,690.25,660.89
66,673.29,690.25,660.89
67,669.31,690.25,660.89
68,671.09,690.25,660.89
69,672.22,690.25,660.89
70,627.37,690.25,660.89
71,613.9,690.25,660.89
72,561.73,658.33,660.89
73,501.83,588.12,660.89
74,467.25,547.59,627.94
75,453.29,531.23,609.18
76,434.08,508.72,583.36
77,432.51,506.88,581.25
78,448.64,525.79,602.94
79,462.46,541.98,621.51
80,502.09,588.43,660.89
81,540.17,633.05,660.89
82,569.97,667.99,660.89
83,588.07,689.19,660.89
84,603.09,690.25,660.89
85,575.1,674.0,660.89
86,551.73,646.6,660.89
87,533.76,625.54,660.89
88,522.78,612.67,660.89
89,518.68,607.86,660.89
90,525.45,615.8,660.89
91,535.15,627.17,660.89
92,552.27,647.23,660.89
93,568.29,666.02,660.89
94,538.63,631.25,660.89
95,545.74,639.59,660.89
96,505.28,592.17,660.89
97,496.43,581.79,660.89
98,464.3,544.14,623.97
99,451.34,528.96,606.57
100,436.92,512.05,587.18
101,445.34,521.92,598.5
102,486.93,570.66,654.4
103,575.72,674.73,660.89
104,651.45,690.25,660.89
105,690.25,690.25,660.89
106,690.25,690.25,660.89
107,690.25,690.25,660.89
108,690.25,690.25,660.89
109,690.25,690.25,660.89
110,690.25,690.25,660.89
111,690.25,690.25,660.89
112,690.25,690.25,660.89
113,682.98,690.25,660.89
114,675.05,690.25,660.89
115,657.88,690.25,660.89
116,633.27,690.25,660.89
117,610.11,690.25,660.89
118,602.3,690.25,660.89
119,586.08,686.87,660.89
120,534.91,626.89,660.89
121,477.59,559.72,641.84
122,443.87,520.19,596.52
123,427.28,500.75,574.22
124,409.05,479.39,549.72
125,403.46,472.84,542.21
126,408.74,479.03,549.31
127,433.8,508.4,582.99
128,473.63,555.08,636.52
129,516.68,605.52,660.89
130,549.53,644.03,660.89
131,572.08,670.45,660.89
132,588.68,689.91,660.89
133,568.24,665.96,660.89
134,551.23,646.01,660.89
135,535.85,628.0,660.89
136,529.6,620.67,660.89
137,525.13,615.42,660.89
138,528.87,619.81,660.89
139,525.76,616.16,660.89
140,517.94,607.0,660.89
141,514.94,603.49,660.89
142,515.91,604.62,660.89
143,515.99,604.71,660.89
144,475.5,557.27,639.03
145,536.24,628.45,660.89
146,507.69,594.98,660.89
147,495.01,580.13,660.89
148,480.66,563.32,645.97
149,493.05,577.83,660.89
150,552.28,647.25,660.89
151,657.17,690.25,660.89
152,690.25,690.25,660.89
153,690.25,690.25,660.89
154,690.25,690.25,660.89
155,690.25,690.25,660.89
156,690.25,690.25,660.89
157,690.25,690.25,660.89
158,690.25,690.25,660.89
159,690.25,690.25,660.89
160,690.25,690.25,660.89
161,690.25,690.25,660.89
162,690.25,690.25,660.89
163,690.25,690.25,660.89
164,690.25,690.25,660.89
165,690.25,690.25,660.89
166,646.1,690.25,660.89
167,630.1,690.25,660.89
168,580.37,680.17,660.89
169,517.9,606.95,660.89
170,485.06,568.46,651.88
171,468.44,549.0,629.55
172,447.39,524.33,601.26
173,446.07,522.78,599.48
174,463.97,543.75,623.54
175,491.51,576.02,660.54
176,532.42,623.97,660.89
177,569.3,667.2,660.89
178,595.96,690.25,660.89
179,616.46,690.25,660.89
180,628.13,690.25,660.89
181,600.27,690.25,660.89
182,577.1,676.34,660.89
183,561.2,657.7,660.89
184,553.61,648.8,660.89
185,556.35,652.01,660.89
186,581.88,681.95,660.89
187,617.44,690.25,660.89
188,623.7,690.25,660.89
189,593.51,690.25,660.89
190,553.01,648.1,660.89
191,558.54,654.58,660.89
192,519.78,609.16,660.89
