,2010,2015,2020
1,244843.3,279925.75,287413.1
2,231228.4,262475.2,273003.25
3,224120.65,260798.85,264364.75
4,201621.55,259046.45,256094.15
5,214123.0,259046.45,258020.75
6,239036.2,277187.95,283242.05
7,281097.7,305145.1,325187.85
8,298287.6,318050.85,370383.0
9,303982.25,332788.3,387283.65
10,310097.45,340026.7,395584.15
11,317915.0,353596.75,401638.9
12,316317.3,360200.75,403959.4
13,294643.7,336977.55,392087.15
14,293857.85,333022.3,387551.45
15,302879.85,328473.6,382334.55
16,302907.15,326037.4,379542.15
17,326004.9,334061.0,388742.25
18,349498.5,365487.85,411104.85
19,340345.2,360345.7,408061.55
20,321515.35,334566.05,389321.4
21,288340.65,317720.65,360151.35
22,283013.9,311825.15,331000.8
23,286055.9,314316.6,332649.2
24,270726.95,296848.5,307357.7
25,91328.64,108891.12,109224.44
26,82127.76,106420.86,104664.3
27,81559.14,101056.54,104235.82
28,80870.4,100179.3,103782.9
29,80708.16,99872.76,103556.96
30,81088.8,100259.38,103688.78
31,81312.92,100562.54,103857.26
32,91499.72,107957.2,108263.48
33,97060.6,112364.2,116738.44
34,107699.28,118772.94,125153.6
35,112574.28,123980.22,130732.94
36,116305.8,124733.7,133914.56
37,109630.04,120881.28,128911.12
38,107324.88,117327.34,125601.84
39,103958.4,116521.08,122817.5
40,105012.7,118460.16,122061.16
41,109173.74,122072.6,126514.44
42,114377.12,126835.54,136204.38
43,114651.16,129569.44,136879.08
44,114363.08,127757.24,132660.32
45,109908.5,119278.9,125424.26
46,98654.66,114865.14,118558.7
47,105402.44,115716.9,121741.1
48,96570.76,114001.68,113989.46
49,210073.5,252395.65,266271.2
50,195575.9,242775.65,263409.9
51,194149.8,235366.3,249429.7
52,192634.0,227839.95,247143.65
53,193486.15,228407.4,258348.35
54,209416.35,253628.7,259473.5
55,241190.95,282406.8,288839.85
56,287155.7,314127.45,325600.6
57,293408.05,319580.3,342477.85
58,302616.6,326128.4,346865.35
59,304400.2,331228.95,352832.35
60,308914.45,334393.8,358134.4
61,298902.5,315292.9,345442.5
62,295176.7,312440.05,340436.2
63,290965.35,304671.9,334101.95
64,285361.05,306785.7,327854.15
65,282464.65,311818.0,320541.65
66,296551.45,308091.55,317493.15
67,296424.7,307588.45,315389.1
68,297205.35,309992.8,316327.7
69,297721.45,311841.4,316928.95
70,245241.1,293776.6,293205.9
71,237888.3,286323.05,286081.9
72,213584.8,263836.3,268248.5
73,83697.9,97478.94,105685.32
74,79768.26,88130.38,97170.84
75,79114.36,85017.14,98104.76
76,78120.38,80364.7,91620.88
77,77897.3,80967.64,92288.04
78,78523.64,86524.88,94692.52
79,78812.24,89751.22,98406.62
80,83656.56,96211.96,104581.62
81,89299.34,107236.22,109210.92
82,93301.0,117752.7,119263.56
83,94273.66,116048.4,121383.08
84,95016.74,122630.56,122699.72
85,94030.3,109757.44,118109.68
86,90728.04,108547.66,112838.44
87,87583.6,102630.58,112078.46
88,86911.5,100494.42,109151.9
89,86264.36,99396.96,109041.92
90,86821.8,103213.76,112482.5
91,87304.36,106294.76,112569.08
92,90697.88,106069.6,116281.36
93,91495.04,108394.0,119765.88
94,87862.84,103990.9,109670.6
95,88097.88,107084.12,114220.86
96,84230.38,97868.94,105168.7
97,204028.5,253645.6,258651.25
98,200444.4,226530.85,255414.25
99,199102.15,217328.15,242483.15
100,197441.4,218843.3,240809.4
101,198254.55,214832.15,240845.8
102,201778.2,247607.1,252977.4
103,230595.95,266362.2,266824.35
104,255240.7,301405.0,305942.0
105,283492.95,315504.8,328232.45
106,291708.95,327243.8,339151.8
107,293553.65,331453.85,350060.1
108,295036.95,334375.6,359043.75
109,293539.35,329312.75,347107.8
110,293070.7,327013.05,342979.0
111,285936.95,324680.2,336051.95
112,278818.8,315640.65,330123.3
113,277305.6,311598.95,322618.4
114,276043.3,307145.15,318421.35
115,258909.95,302595.15,309343.45
116,254411.3,292080.75,303643.6
117,247111.8,286545.35,284077.95
118,238559.1,287784.9,279943.95
119,233978.55,281021.65,275314.65
120,219485.5,257905.7,260705.9
121,86535.02,91935.22,101678.72
122,82425.46,87388.34,93264.6
123,82861.74,82723.16,88907.52
124,79991.6,77700.22,81441.36
125,79112.28,76585.86,84053.32
126,79944.02,79374.62,83541.64
127,80932.28,84724.12,95453.8
128,85411.3,100145.24,101531.56
129,90229.1,108980.3,110594.12
130,96944.12,116485.98,117946.4
131,98141.42,121142.32,119564.9
132,99019.7,122077.28,120632.2
133,98119.58,120259.62,120472.56
134,94883.1,114382.06,112953.88
135,94154.58,104806.26,109697.12
136,91243.62,103591.28,108733.04
137,90929.02,103651.86,112024.9
138,93397.72,111408.96,113042.02
139,93116.66,110949.02,111658.04
140,90353.9,109781.88,111573.28
141,90483.12,109577.52,110132.62
142,90707.76,108527.9,110885.58
143,90776.4,107926.52,111172.88
144,86416.72,92390.48,102887.2
145,209580.8,258371.75,264577.3
146,206982.75,244735.4,262514.85
147,194810.2,247484.25,261174.55
148,192910.25,237046.55,247965.25
149,194039.3,247221.0,259852.45
150,210120.3,256341.15,261731.6
151,272186.85,302318.9,308965.15
152,286955.5,327272.4,359233.55
153,294017.75,334843.6,362352.25
154,294435.05,337671.75,364414.7
155,295389.9,341755.05,369263.05
156,296152.35,344959.55,372564.4
157,288787.85,338692.9,359000.2
158,281978.45,331565.65,352420.25
159,281087.95,327136.55,345088.9
160,280132.45,325453.05,338801.45
161,279731.4,323297.0,334934.6
162,280941.05,325120.25,341111.55
163,307045.05,335979.15,360133.15
164,307435.7,337499.5,360555.65
165,281532.55,313410.5,336336.65
166,261730.3,293725.9,303113.2
167,248974.7,285641.85,294651.5
168,225089.15,275284.75,268346.65
169,83529.94,101752.3,108415.84
170,79725.36,93250.56,101417.42
171,78971.36,88591.88,100472.32
172,78157.82,82658.16,97868.68
173,78053.56,82705.22,97841.64
174,78665.08,88318.36,99701.94
175,79703.26,97053.06,100602.58
176,84789.12,104447.72,110404.06
177,91916.24,112718.84,111168.72
178,95475.38,117202.28,117629.46
179,98901.14,119182.7,119426.84
180,99509.02,120652.22,120792.36
181,96075.72,117952.38,118341.08
182,92750.06,113584.64,115351.34
183,92063.66,108910.88,114375.04
184,87147.58,107655.6,113055.02
185,91795.6,109659.42,112402.94
186,95405.44,112685.56,113330.1
187,99515.0,119748.72,119984.28
188,99934.38,120506.62,120686.28
189,96333.12,114805.86,117724.88
190,87672.0,109279.56,114246.86
191,87925.5,106999.1,113935.38
192,82509.44,102287.64,109074.94
