,2010,2015,2020
1,3766.82,4306.55,4421.74
2,3557.36,4038.08,4200.05
3,3448.01,4012.29,4067.15
4,3101.87,3985.33,3939.91
5,3294.2,3985.33,3969.55
6,3677.48,4264.43,4357.57
7,4324.58,4694.54,5002.89
8,4589.04,4893.09,5698.2
9,4676.65,5119.82,5958.21
10,4770.73,5231.18,6085.91
11,4891.0,5439.95,6179.06
12,4866.42,5541.55,6214.76
13,4532.98,5184.27,6032.11
14,4520.89,5123.42,5962.33
15,4659.69,5053.44,5882.07
16,4660.11,5015.96,5839.11
17,5015.46,5139.4,5980.65
18,5376.9,5622.89,6324.69
19,5236.08,5543.78,6277.87
20,4946.39,5147.17,5989.56
21,4436.01,4888.01,5540.79
22,4354.06,4797.31,5092.32
23,4400.86,4835.64,5117.68
24,4165.03,4566.9,4728.58
25,3512.64,4188.12,4200.94
26,3158.76,4093.11,4025.55
27,3136.89,3886.79,4009.07
28,3110.4,3853.05,3991.65
29,3104.16,3841.26,3982.96
30,3118.8,3856.13,3988.03
31,3127.42,3867.79,3994.51
32,3519.22,4152.2,4163.98
33,3733.1,4321.7,4489.94
34,4142.28,4568.19,4813.6
35,4329.78,4768.47,5028.19
36,4473.3,4797.45,5150.56
37,4216.54,4649.28,4958.12
38,4127.88,4512.59,4830.84
39,3998.4,4481.58,4723.75
40,4038.95,4556.16,4694.66
41,4198.99,4695.1,4865.94
42,4399.12,4878.29,5238.63
43,4409.66,4983.44,5264.58
44,4398.58,4913.74,5102.32
45,4227.25,4587.65,4824.01
46,3794.41,4417.89,4559.95
47,4053.94,4450.65,4682.35
48,3714.26,4384.68,4384.21
49,3231.9,3883.01,4096.48
50,3008.86,3735.01,4052.46
51,2986.92,3621.02,3837.38
52,2963.6,3505.23,3802.21
53,2976.71,3513.96,3974.59
54,3221.79,3901.98,3991.9
55,3710.63,4344.72,4443.69
56,4417.78,4832.73,5009.24
57,4513.97,4916.62,5268.89
58,4655.64,5017.36,5336.39
59,4683.08,5095.83,5428.19
60,4752.53,5144.52,5509.76
61,4598.5,4850.66,5314.5
62,4541.18,4806.77,5237.48
63,4476.39,4687.26,5140.03
64,4390.17,4719.78,5043.91
65,4345.61,4797.2,4931.41
66,4562.33,4739.87,4884.51
67,4560.38,4732.13,4852.14
68,4572.39,4769.12,4866.58
69,4580.33,4797.56,4875.83
70,3772.94,4519.64,4510.86
71,3659.82,4404.97,4401.26
72,3285.92,4059.02,4126.9
73,3219.15,3749.19,4064.82
74,3068.01,3389.63,3737.34
75,3042.86,3269.89,3773.26
76,3004.63,3090.95,3523.88
77,2996.05,3114.14,3549.54
78,3020.14,3327.88,3642.02
79,3031.24,3451.97,3784.87
80,3217.56,3700.46,4022.37
81,3434.59,4124.47,4200.42
82,3588.5,4528.95,4587.06
83,3625.91,4463.4,4668.58
84,3654.49,4716.56,4719.22
85,3616.55,4221.44,4542.68
86,3489.54,4174.91,4339.94
87,3368.6,3947.33,4310.71
88,3342.75,3865.17,4198.15
89,3317.86,3822.96,4193.92
90,3339.3,3969.76,4326.25
