,2010,2015,2020
1,286.24,276.8,276.8
2,286.24,276.8,276.8
3,286.24,276.8,276.8
4,286.24,276.8,276.8
5,286.24,276.8,276.8
6,286.24,276.8,276.8
7,286.24,276.8,276.8
8,286.24,276.8,276.8
9,286.24,276.8,276.8
10,286.24,276.8,276.8
11,286.24,276.8,276.8
12,286.24,276.8,276.8
13,286.24,276.8,276.8
14,286.24,276.8,276.8
15,286.24,276.8,276.8
16,286.24,276.8,276.8
17,286.24,276.8,276.8
18,286.24,276.8,276.8
19,286.24,276.8,276.8
20,286.24,276.8,276.8
21,286.24,276.8,276.8
22,286.24,276.8,276.8
23,286.24,276.8,276.8
24,286.24,276.8,276.8
25,278.58,276.8,282.69
26,278.58,276.8,282.69
27,278.58,276.8,282.69
28,278.58,276.8,282.69
29,278.58,276.8,282.69
30,278.58,276.8,282.69
31,278.58,276.8,282.69
32,278.58,276.8,282.69
33,278.58,276.8,282.69
34,278.58,276.8,282.69
35,278.58,276.8,282.69
36,278.58,276.8,282.69
37,278.58,276.8,282.69
38,278.58,276.8,282.69
39,278.58,276.8,282.69
40,278.58,276.8,282.69
41,278.58,276.8,282.69
42,278.58,276.8,282.69
43,278.58,276.8,282.69
44,278.58,276.8,282.69
45,278.58,276.8,282.69
46,278.58,276.8,282.69
47,278.58,276.8,282.69
48,278.58,276.8,282.69
49,286.24,276.8,282.69
50,286.24,276.8,282.69
51,286.24,276.8,282.69
52,286.24,276.8,282.69
53,286.24,276.8,282.69
54,286.24,276.8,282.69
55,286.24,276.8,282.69
56,286.24,276.8,282.69
57,286.24,276.8,282.69
58,286.24,276.8,282.69
59,286.24,276.8,282.69
60,286.24,276.8,282.69
61,286.24,276.8,282.69
62,286.24,276.8,282.69
63,286.24,276.8,282.69
64,286.24,276.8,282.69
65,286.24,276.8,282.69
66,286.24,276.8,282.69
67,286.24,276.8,282.69
68,286.24,276.8,282.69
69,286.24,276.8,282.69
70,286.24,276.8,282.69
71,286.24,276.8,282.69
72,286.24,276.8,282.69
73,345.65,276.8,341.59
74,345.65,276.8,341.59
75,345.65,276.8,341.59
76,345.65,276.8,341.59
77,345.65,276.8,341.59
78,345.65,276.8,341.59
79,345.65,276.8,341.59
80,345.65,276.8,341.59
81,345.65,276.8,341.59
82,345.65,276.8,341.59
83,345.65,276.8,341.59
84,345.65,276.8,341.59
85,345.65,276.8,341.59
86,345.65,276.8,341.59
87,345.65,276.8,341.59
88,345.65,276.8,341.59
89,345.65,276.8,341.59
90,345.65,276.8,341.59
91,345.65,276.8,341.59
92,345.65,276.8,341.59
93,345.65,276.8,341.59
94,345.65,276.8,341.59
95,345.65,276.8,341.59
96,345.65,276.8,341.59
97,278.58,276.8,282.69
98,278.58,276.8,282.69
99,278.58,276.8,282.69
100,278.58,276.8,282.69
101,278.58,276.8,282.69
102,278.58,276.8,282.69
103,278.58,276.8,282.69
104,278.58,276.8,282.69
105,278.58,276.8,282.69
106,278.58,276.8,282.69
107,278.58,276.8,282.69
108,278.58,276.8,282.69
109,278.58,276.8,282.69
110,278.58,276.8,282.69
111,278.58,276.8,282.69
112,278.58,276.8,282.69
113,278.58,276.8,282.69
114,278.58,276.8,282.69
115,278.58,276.8,282.69
116,278.58,276.8,282.69
117,278.58,276.8,282.69
118,278.58,276.8,282.69
119,278.58,276.8,282.69
120,278.58,276.8,282.69
121,325.11,276.8,318.03
122,325.11,276.8,318.03
123,325.11,276.8,318.03
124,325.11,276.8,318.03
125,325.11,276.8,318.03
126,325.11,276.8,318.03
127,325.11,276.8,318.03
128,325.11,276.8,318.03
129,325.11,276.8,318.03
130,325.11,276.8,318.03
131,325.11,276.8,318.03
132,325.11,276.8,318.03
133,325.11,276.8,318.03
134,325.11,276.8,318.03
135,325.11,276.8,318.03
136,325.11,276.8,318.03
137,325.11,276.8,318.03
138,325.11,276.8,318.03
139,325.11,276.8,318.03
140,325.11,276.8,318.03
141,325.11,276.8,318.03
142,325.11,276.8,318.03
143,325.11,276.8,318.03
144,325.11,276.8,318.03
145,286.24,276.8,276.8
146,286.24,276.8,276.8
147,286.24,276.8,276.8
148,286.24,276.8,276.8
149,286.24,276.8,276.8
150,286.24,276.8,276.8
151,286.24,276.8,276.8
152,286.24,276.8,276.8
153,286.24,276.8,276.8
154,286.24,276.8,276.8
155,286.24,276.8,276.8
156,286.24,276.8,276.8
157,286.24,276.8,276.8
158,286.24,276.8,276.8
159,286.24,276.8,276.8
160,286.24,276.8,276.8
161,286.24,276.8,276.8
162,286.24,276.8,276.8
163,286.24,276.8,276.8
164,286.24,276.8,276.8
165,286.24,276.8,276.8
166,286.24,276.8,276.8
167,286.24,276.8,276.8
168,286.24,276.8,276.8
169,274.23,276.8,318.03
170,274.23,276.8,318.03
171,274.23,276.8,318.03
172,274.23,276.8,318.03
173,274.23,276.8,318.03
174,274.23,276.8,318.03
175,274.23,276.8,318.03
176,274.23,276.8,318.03
177,274.23,276.8,318.03
178,274.23,276.8,318.03
179,274.23,276.8,318.03
180,274.23,276.8,318.03
181,274.23,276.8,318.03
182,274.23,276.8,318.03
183,274.23,276.8,318.03
184,274.23,276.8,318.03
185,274.23,276.8,318.03
186,274.23,276.8,318.03
187,274.23,276.8,318.03
188,274.23,276.8,318.03
189,274.23,276.8,318.03
190,274.23,276.8,318.03
191,274.23,276.8,318.03
192,274.23,276.8,318.03
