,2010,2015,2020
1,65.83,75.23,82.69
2,65.83,75.23,82.69
3,65.83,75.23,82.69
4,65.83,75.23,82.69
5,65.83,75.23,82.69
6,65.83,75.23,82.69
7,65.83,75.23,82.69
8,65.83,75.23,82.69
9,65.83,75.23,82.69
10,65.83,75.23,82.69
11,65.83,75.23,82.69
12,65.83,75.23,82.69
13,65.83,75.23,82.69
14,65.83,75.23,82.69
15,65.83,75.23,82.69
16,65.83,75.23,82.69
17,65.83,75.23,82.69
18,65.83,75.23,82.69
19,65.83,75.23,82.69
20,65.83,75.23,82.69
21,65.83,75.23,82.69
22,65.83,75.23,82.69
23,65.83,75.23,82.69
24,65.83,75.23,82.69
25,56.42,65.83,69.72
26,56.42,65.83,69.72
27,56.42,65.83,69.72
28,56.42,65.83,69.72
29,56.42,65.83,69.72
30,56.42,65.83,69.72
31,56.42,65.83,69.72
32,56.42,65.83,69.72
33,56.42,65.83,69.72
34,56.42,65.83,69.72
35,56.42,65.83,69.72
36,56.42,65.83,69.72
37,56.42,65.83,69.72
38,56.42,65.83,69.72
39,56.42,65.83,69.72
40,56.42,65.83,69.72
41,56.42,65.83,69.72
42,56.42,65.83,69.72
43,56.42,65.83,69.72
44,56.42,65.83,69.72
45,56.42,65.83,69.72
46,56.42,65.83,69.72
47,56.42,65.83,69.72
48,56.42,65.83,69.72
49,56.42,65.83,72.96
50,56.42,65.83,72.96
51,56.42,65.83,72.96
52,56.42,65.83,72.96
53,56.42,65.83,72.96
54,56.42,65.83,72.96
55,56.42,65.83,72.96
56,56.42,65.83,72.96
57,56.42,65.83,72.96
58,56.42,65.83,72.96
59,56.42,65.83,72.96
60,56.42,65.83,72.96
61,56.42,65.83,72.96
62,56.42,65.83,72.96
63,56.42,65.83,72.96
64,56.42,65.83,72.96
65,56.42,65.83,72.96
66,56.42,65.83,72.96
67,56.42,65.83,72.96
68,56.42,65.83,72.96
69,56.42,65.83,72.96
70,56.42,65.83,72.96
71,56.42,65.83,72.96
72,56.42,65.83,72.96
73,44.09,56.42,58.37
74,44.09,56.42,58.37
75,44.09,56.42,58.37
76,44.09,56.42,58.37
77,44.09,56.42,58.37
78,44.09,56.42,58.37
79,44.09,56.42,58.37
80,44.09,56.42,58.37
81,44.09,56.42,58.37
82,44.09,56.42,58.37
83,44.09,56.42,58.37
84,44.09,56.42,58.37
85,44.09,56.42,58.37
86,44.09,56.42,58.37
87,44.09,56.42,58.37
88,44.09,56.42,58.37
89,44.09,56.42,58.37
90,44.09,56.42,58.37
91,44.09,56.42,58.37
92,44.09,56.42,58.37
93,44.09,56.42,58.37
94,44.09,56.42,58.37
95,44.09,56.42,58.37
96,44.09,56.42,58.37
97,56.42,65.83,72.96
98,56.42,65.83,72.96
99,56.42,65.83,72.96
100,56.42,65.83,72.96
101,56.42,65.83,72.96
102,56.42,65.83,72.96
103,56.42,65.83,72.96
104,56.42,65.83,72.96
105,56.42,65.83,72.96
106,56.42,65.83,72.96
107,56.42,65.83,72.96
108,56.42,65.83,72.96
109,56.42,65.83,72.96
110,56.42,65.83,72.96
111,56.42,65.83,72.96
112,56.42,65.83,72.96
113,56.42,65.83,72.96
114,56.42,65.83,72.96
115,56.42,65.83,72.96
116,56.42,65.83,72.96
117,56.42,65.83,72.96
118,56.42,65.83,72.96
119,56.42,65.83,72.96
120,56.42,65.83,72.96
121,44.09,56.42,58.37
122,44.09,56.42,58.37
123,44.09,56.42,58.37
124,44.09,56.42,58.37
125,44.09,56.42,58.37
126,44.09,56.42,58.37
127,44.09,56.42,58.37
128,44.09,56.42,58.37
129,44.09,56.42,58.37
130,44.09,56.42,58.37
131,44.09,56.42,58.37
132,44.09,56.42,58.37
133,44.09,56.42,58.37
134,44.09,56.42,58.37
135,44.09,56.42,58.37
136,44.09,56.42,58.37
137,44.09,56.42,58.37
138,44.09,56.42,58.37
139,44.09,56.42,58.37
140,44.09,56.42,58.37
141,44.09,56.42,58.37
142,44.09,56.42,58.37
143,44.09,56.42,58.37
144,44.09,56.42,58.37
145,56.42,65.83,76.21
146,56.42,65.83,76.21
147,56.42,65.83,76.21
148,56.42,65.83,76.21
149,56.42,65.83,76.21
150,56.42,65.83,76.21
151,56.42,65.83,76.21
152,56.42,65.83,76.21
153,56.42,65.83,76.21
154,56.42,65.83,76.21
155,56.42,65.83,76.21
156,56.42,65.83,76.21
157,56.42,65.83,76.21
158,56.42,65.83,76.21
159,56.42,65.83,76.21
160,56.42,65.83,76.21
161,56.42,65.83,76.21
162,56.42,65.83,76.21
163,56.42,65.83,76.21
164,56.42,65.83,76.21
165,56.42,65.83,76.21
166,56.42,65.83,76.21
167,56.42,65.83,76.21
168,56.42,65.83,76.21
169,47.02,56.42,61.61
170,47.02,56.42,61.61
171,47.02,56.42,61.61
172,47.02,56.42,61.61
173,47.02,56.42,61.61
174,47.02,56.42,61.61
175,47.02,56.42,61.61
176,47.02,56.42,61.61
177,47.02,56.42,61.61
178,47.02,56.42,61.61
179,47.02,56.42,61.61
180,47.02,56.42,61.61
181,47.02,56.42,61.61
182,47.02,56.42,61.61
183,47.02,56.42,61.61
184,47.02,56.42,61.61
185,47.02,56.42,61.61
186,47.02,56.42,61.61
187,47.02,56.42,61.61
188,47.02,56.42,61.61
189,47.02,56.42,61.61
190,47.02,56.42,61.61
191,47.02,56.42,61.61
192,47.02,56.42,61.61
