,2010,2015,2020
1,0.084,0.081,0.093
2,0.084,0.079,0.09
3,0.084,0.079,0.089
4,0.084,0.079,0.088
5,0.084,0.079,0.089
6,0.084,0.08,0.093
7,0.082,0.081,0.099
8,0.082,0.103,0.122
9,0.079,0.099,0.12
10,0.08,0.1,0.12
11,0.08,0.1,0.117
12,0.084,0.103,0.124
13,0.083,0.084,0.114
14,0.083,0.084,0.111
15,0.083,0.083,0.109
16,0.083,0.083,0.111
17,0.083,0.103,0.122
18,0.08,0.1,0.13
19,0.08,0.1,0.131
20,0.079,0.099,0.121
21,0.081,0.102,0.115
22,0.08,0.08,0.097
23,0.08,0.08,0.097
24,0.084,0.082,0.096
25,0.082,0.074,0.084
26,0.079,0.077,0.087
27,0.079,0.077,0.085
28,0.079,0.077,0.084
29,0.079,0.077,0.084
30,0.079,0.077,0.085
31,0.079,0.077,0.085
32,0.082,0.074,0.088
33,0.079,0.075,0.086
34,0.08,0.073,0.09
35,0.077,0.078,0.086
36,0.078,0.078,0.086
37,0.081,0.079,0.089
38,0.082,0.08,0.088
39,0.078,0.081,0.09
40,0.077,0.077,0.087
41,0.08,0.077,0.089
42,0.076,0.074,0.088
43,0.076,0.074,0.089
44,0.076,0.073,0.088
45,0.076,0.072,0.085
46,0.079,0.075,0.086
47,0.079,0.072,0.089
48,0.076,0.074,0.085
49,0.085,0.08,0.088
50,0.081,0.079,0.086
51,0.081,0.079,0.085
52,0.081,0.079,0.085
53,0.081,0.079,0.085
54,0.085,0.08,0.089
55,0.081,0.079,0.091
56,0.078,0.078,0.092
57,0.079,0.079,0.094
58,0.08,0.08,0.093
59,0.08,0.08,0.093
60,0.081,0.084,0.098
61,0.084,0.084,0.096
62,0.084,0.084,0.095
63,0.084,0.084,0.095
64,0.082,0.081,0.093
65,0.083,0.082,0.094
66,0.082,0.081,0.094
67,0.082,0.081,0.094
68,0.081,0.077,0.09
69,0.078,0.077,0.09
70,0.081,0.079,0.091
71,0.081,0.078,0.09
72,0.085,0.08,0.091
73,0.075,0.073,0.08
74,0.078,0.067,0.079
75,0.079,0.066,0.083
76,0.079,0.07,0.082
77,0.079,0.07,0.082
78,0.079,0.069,0.082
79,0.079,0.067,0.079
80,0.075,0.074,0.081
81,0.076,0.068,0.08
82,0.078,0.078,0.081
83,0.075,0.075,0.086
84,0.075,0.076,0.087
85,0.079,0.079,0.086
86,0.079,0.079,0.09
87,0.082,0.079,0.089
88,0.078,0.075,0.084
89,0.08,0.077,0.087
90,0.077,0.072,0.083
91,0.076,0.067,0.082
92,0.071,0.071,0.079
93,0.072,0.071,0.08
94,0.071,0.07,0.078
95,0.071,0.07,0.078
96,0.075,0.067,0.081
97,0.082,0.082,0.089
98,0.082,0.081,0.087
99,0.082,0.081,0.086
100,0.082,0.081,0.086
101,0.082,0.081,0.086
102,0.082,0.082,0.089
103,0.084,0.081,0.093
104,0.083,0.08,0.093
105,0.081,0.083,0.096
106,0.082,0.084,0.096
107,0.082,0.085,0.1
108,0.083,0.085,0.1
109,0.083,0.088,0.096
110,0.083,0.088,0.1
111,0.086,0.088,0.099
112,0.085,0.087,0.098
113,0.085,0.086,0.098
114,0.084,0.085,0.098
115,0.084,0.08,0.097
116,0.083,0.083,0.095
117,0.082,0.082,0.093
118,0.082,0.081,0.092
119,0.082,0.081,0.092
120,0.086,0.083,0.092
121,0.077,0.075,0.082
122,0.081,0.069,0.084
123,0.081,0.079,0.084
124,0.081,0.078,0.083
125,0.081,0.072,0.083
126,0.081,0.078,0.083
127,0.081,0.078,0.084
128,0.079,0.077,0.083
129,0.079,0.079,0.085
130,0.076,0.078,0.087
131,0.077,0.081,0.085
132,0.077,0.083,0.086
133,0.081,0.084,0.089
134,0.081,0.086,0.088
135,0.082,0.087,0.091
136,0.081,0.086,0.09
137,0.08,0.076,0.086
138,0.079,0.08,0.086
139,0.078,0.074,0.085
140,0.076,0.073,0.08
141,0.073,0.072,0.079
142,0.073,0.072,0.079
143,0.073,0.072,0.079
144,0.077,0.075,0.081
145,0.088,0.087,0.095
146,0.089,0.086,0.093
147,0.089,0.085,0.092
148,0.089,0.084,0.09
149,0.089,0.085,0.092
150,0.088,0.088,0.097
151,0.086,0.112,0.114
152,0.084,0.109,0.131
153,0.084,0.11,0.135
154,0.085,0.11,0.13
155,0.085,0.11,0.126
156,0.089,0.114,0.134
157,0.089,0.114,0.122
158,0.089,0.114,0.116
159,0.088,0.114,0.113
160,0.088,0.113,0.112
161,0.088,0.113,0.115
162,0.088,0.113,0.127
163,0.084,0.109,0.134
164,0.084,0.11,0.136
165,0.087,0.112,0.132
166,0.085,0.112,0.107
167,0.087,0.114,0.107
168,0.088,0.089,0.099
169,0.08,0.08,0.087
170,0.083,0.081,0.09
171,0.083,0.083,0.088
172,0.083,0.082,0.087
173,0.083,0.082,0.087
174,0.083,0.083,0.088
175,0.088,0.079,0.088
176,0.084,0.081,0.088
177,0.084,0.078,0.092
178,0.081,0.08,0.089
179,0.082,0.086,0.09
180,0.083,0.087,0.09
181,0.087,0.086,0.093
182,0.083,0.089,0.091
183,0.09,0.089,0.095
184,0.089,0.088,0.094
185,0.081,0.083,0.09
186,0.084,0.084,0.092
187,0.08,0.081,0.091
188,0.08,0.081,0.092
189,0.08,0.079,0.089
190,0.083,0.082,0.09
191,0.083,0.077,0.09
192,0.079,0.08,0.087
