,2010,2015,2020
1,21855.6,25613.25,29371.55
2,20889.05,24481.6,28073.5
3,20309.9,23803.0,27295.45
4,19661.85,23043.15,26423.8
5,19884.8,23304.45,26724.1
6,21576.1,25285.65,28995.85
7,24388.0,28581.15,32774.95
8,27417.65,32132.1,36846.55
9,28550.6,33460.05,38369.5
10,29107.0,34112.0,39117.0
11,29512.6,34587.8,39662.35
12,29667.95,34769.8,39871.65
13,28872.35,33837.05,38801.75
14,28568.15,33480.85,38393.55
15,28218.45,33070.7,37923.6
16,28031.25,32851.65,37672.05
17,28648.1,33574.45,38500.8
18,30147.65,35331.4,40515.15
19,29943.55,35092.2,40241.5
20,28687.1,33619.95,38552.8
21,26731.9,31328.05,35924.85
22,24777.35,29038.1,33298.85
23,24887.85,29167.45,33447.05
24,23192.65,27180.4,31168.8
25,8357.18,9794.46,11231.48
26,7950.28,9317.62,10684.7
27,7692.88,9015.76,10338.64
28,7372.82,8640.58,9908.34
29,7312.24,8569.6,9826.96
30,7504.12,8794.76,10085.14
31,7605.78,8913.84,10221.64
32,8292.96,9719.06,11144.9
33,8861.06,10384.66,11908.52
34,9425.26,11045.84,12666.68
35,9799.14,11484.2,13169.26
36,10012.34,11734.06,13455.78
37,9676.94,11341.2,13005.2
38,9455.16,11081.2,12706.98
39,9268.48,10862.28,12456.08
40,9217.78,10803.0,12387.96
41,9516.52,11152.7,12789.14
42,10166.0,11914.24,13662.22
43,10211.24,11967.02,13723.06
44,9928.36,11635.52,13342.94
45,9443.2,11067.16,12691.12
46,8883.42,10410.92,11938.68
47,9196.46,10777.78,12359.1
48,8676.72,10168.86,11660.74
49,18502.25,21684.0,24865.75
50,17397.25,20389.2,23380.5
51,16941.6,19854.9,22768.2
52,16489.85,19325.8,22161.75
53,16917.55,19826.95,22735.7
54,18933.85,22189.7,25445.55
55,21951.15,25725.7,29500.25
56,24415.3,28613.65,32812.65
57,25546.95,29939.65,34333.0
58,25840.75,30284.8,34728.2
59,26241.15,30753.45,35265.75
60,26596.7,31170.1,35743.5
61,25745.85,30173.0,34600.15
62,25409.8,29779.75,34149.05
63,24985.35,29281.85,33578.35
64,24566.75,28791.1,33015.45
65,24076.65,28216.5,32356.35
66,23871.9,27976.65,32082.05
67,23730.85,27811.55,31892.25
68,23793.9,27885.65,31976.75
69,23834.2,27932.45,32030.7
70,22243.65,26068.9,29893.5
71,21766.55,25509.25,29251.95
72,19916.65,23341.5,26766.35
73,7116.98,8340.8,9564.88
74,6626.62,7765.94,8905.52
75,6428.5,7534.02,8639.54
76,6156.28,7214.74,8273.46
77,6133.92,7188.74,8243.3
78,6362.72,7456.8,8550.88
79,6558.76,7686.38,8814.26
80,7120.62,8345.22,9569.82
81,7660.64,8978.06,10295.48
82,8083.4,9473.62,10863.58
83,8340.02,9774.18,11208.34
84,8553.22,10024.04,11494.86
85,8156.2,9558.9,10961.34
86,7824.7,9170.2,10515.7
87,7569.9,8871.46,10173.28
88,7414.16,8688.94,9963.98
89,7355.92,8620.82,9885.72
90,7451.86,8733.4,10014.94
91,7589.66,8894.86,10199.8
92,7832.24,9179.3,10526.1
93,8059.74,9445.54,10831.6
94,7638.8,8952.58,10266.1
95,7739.68,9070.88,10401.82
96,7166.12,8398.26,9630.66
97,17600.7,20627.75,23654.15
98,16461.9,19292.65,22123.4
99,16002.35,18754.45,21506.55
100,15491.45,18155.15,20818.85
101,15789.8,18504.85,21219.9
102,17264.65,20233.2,23201.75
103,20412.6,23922.6,27432.6
104,23097.75,27069.25,31041.4
105,24592.1,28821.0,33049.25
106,25324.0,29678.35,34033.35
107,26055.25,30535.7,35015.5
108,26657.15,31241.6,35825.4
109,25857.0,30303.65,34749.65
110,25580.75,29979.3,34377.85
111,25116.0,29435.25,33753.85
112,24718.85,28969.2,33219.55
113,24215.75,28379.65,32543.55
114,23934.3,28050.1,32165.25
115,23325.25,27336.4,31347.55
116,22452.95,26313.95,30174.95
117,21632.0,25351.3,29071.25
118,21354.45,25026.95,28698.8
119,20779.85,24353.55,27926.6
120,18965.7,22226.75,25487.8
121,6773.26,7938.06,9102.86
122,6294.86,7377.5,8459.88
123,6059.56,7101.64,8143.72
124,5801.12,6798.74,7796.36
125,5721.82,6705.92,7689.76
126,5796.96,6793.54,7790.38
127,6152.12,7210.06,8268.0
128,6717.1,7872.28,9027.2
129,7327.58,8587.54,9847.76
130,7793.5,9133.8,10473.84
131,8113.3,9508.46,10903.62
132,8348.86,9784.32,11220.04
133,8058.96,9444.76,10830.56
134,7817.42,9161.88,10506.08
135,7599.54,8906.3,10213.06
136,7510.88,8802.56,10093.98
137,7447.44,8728.2,10008.7
138,7500.48,8790.34,10079.94
139,7456.28,8738.6,10020.66
140,7345.52,8608.6,9871.68
141,7302.88,8558.94,9814.74
142,7316.66,8574.8,9833.2
143,7317.7,8576.1,9834.5
144,6743.62,7903.22,9062.82
145,19012.5,22282.0,25551.5
146,18000.45,21095.75,24191.05
147,17550.65,20568.6,23586.55
148,17042.35,19972.55,22903.4
149,17481.1,20487.35,23493.6
150,19581.25,22948.25,26315.9
151,23299.9,27307.15,31313.75
152,26154.05,30651.4,35148.75
153,26878.8,31500.95,36123.1
154,27017.25,31663.45,36309.0
155,27342.25,32044.35,36745.8
156,27563.9,32303.7,37043.5
157,26654.55,31237.7,35821.5
158,26213.2,30720.95,35228.7
159,25721.8,30145.05,34568.3
160,25300.6,29651.05,34001.5
161,25041.25,29347.5,33653.1
162,25455.3,29832.4,34209.5
163,26730.6,31326.75,35923.55
164,26758.55,31359.9,35961.25
165,25134.85,29457.35,33779.2
166,22907.95,26846.95,30786.6
167,22340.5,26182.65,30024.15
168,20577.05,24115.65,27654.25
169,7345.0,8608.08,9870.9
170,6879.08,8062.08,9245.08
171,6643.52,7785.96,8928.4
172,6345.04,7436.0,8527.22
173,6326.32,7414.16,8502.0
174,6580.08,7711.6,8843.12
175,6970.6,8169.2,9368.06
176,7550.92,8849.36,10147.8
177,8073.78,9462.44,10850.58
178,8451.82,9905.48,11358.88
179,8742.76,10246.08,11749.4
180,8908.12,10440.04,11971.96
181,8513.18,9976.98,11441.04
182,8184.54,9591.92,10999.3
183,7958.86,9327.76,10696.14
184,7851.22,9201.4,10551.58
185,7890.22,9246.9,10603.84
186,8252.4,9671.48,11090.56
187,8756.8,10262.46,11768.12
188,8845.46,10366.46,11887.46
189,8417.24,9864.66,11312.08
190,7842.9,9191.52,10540.14
191,7921.16,9283.56,10645.7
192,7371.52,8639.28,9906.78
