,2010,2015
1,618.68,798.7
2,618.68,798.7
3,618.68,798.7
4,618.68,798.7
5,618.68,798.7
6,618.68,798.7
7,618.68,798.7
8,618.68,798.7
9,618.68,798.7
10,618.68,798.7
11,618.68,798.7
12,618.68,798.7
13,618.68,798.7
14,618.68,798.7
15,618.68,798.7
16,618.68,798.7
17,618.68,798.7
18,618.68,798.7
19,618.68,798.7
20,618.68,798.7
21,618.68,798.7
22,618.68,798.7
23,618.68,798.7
24,618.68,798.7
25,835.92,1035.8
26,835.92,1035.8
27,835.92,1035.8
28,835.92,1035.8
29,835.92,1035.8
30,835.92,1035.8
31,835.92,1035.8
32,835.92,1035.8
33,835.92,1035.8
34,835.92,1035.8
35,835.92,1035.8
36,835.92,1035.8
37,835.92,1035.8
38,835.92,1035.8
39,835.92,1035.8
40,835.92,1035.8
41,835.92,1035.8
42,835.92,1035.8
43,835.92,1035.8
44,835.92,1035.8
45,835.92,1035.8
46,835.92,1035.8
47,835.92,1035.8
48,835.92,1035.8
49,655.89,983.41
50,655.89,983.41
51,655.89,983.41
52,655.89,983.41
53,655.89,983.41
54,655.89,983.41
55,655.89,983.41
56,655.89,983.41
57,655.89,983.41
58,655.89,983.41
59,655.89,983.41
60,655.89,983.41
61,655.89,983.41
62,655.89,983.41
63,655.89,983.41
64,655.89,983.41
65,655.89,983.41
66,655.89,983.41
67,655.89,983.41
68,655.89,983.41
69,655.89,983.41
70,655.89,983.41
71,655.89,983.41
72,655.89,983.41
73,878.05,947.8
74,878.05,947.8
75,878.05,947.8
76,878.05,947.8
77,878.05,947.8
78,878.05,947.8
79,878.05,947.8
80,878.05,947.8
81,878.05,947.8
82,878.05,947.8
83,878.05,947.8
84,878.05,947.8
85,878.05,947.8
86,878.05,947.8
87,878.05,947.8
88,878.05,947.8
89,878.05,947.8
90,878.05,947.8
91,878.05,947.8
92,878.05,947.8
93,878.05,947.8
94,878.05,947.8
95,878.05,947.8
96,878.05,947.8
97,709.57,993.61
98,709.57,993.61
99,709.57,993.61
100,709.57,993.61
101,709.57,993.61
102,709.57,993.61
103,709.57,993.61
104,709.57,993.61
105,709.57,993.61
106,709.57,993.61
107,709.57,993.61
108,709.57,993.61
109,709.57,993.61
110,709.57,993.61
111,709.57,993.61
112,709.57,993.61
113,709.57,993.61
114,709.57,993.61
115,709.57,993.61
116,709.57,993.61
117,709.57,993.61
118,709.57,993.61
119,709.57,993.61
120,709.57,993.61
121,887.76,962.81
122,887.76,962.81
123,887.76,962.81
124,887.76,962.81
125,887.76,962.81
126,887.76,962.81
127,887.76,962.81
128,887.76,962.81
129,887.76,962.81
130,887.76,962.81
131,887.76,962.81
132,887.76,962.81
133,887.76,962.81
134,887.76,962.81
135,887.76,962.81
136,887.76,962.81
137,887.76,962.81
138,887.76,962.81
139,887.76,962.81
140,887.76,962.81
141,887.76,962.81
142,887.76,962.81
143,887.76,962.81
144,887.76,962.81
145,805.81,834.99
146,805.81,834.99
147,805.81,834.99
148,805.81,834.99
149,805.81,834.99
150,805.81,834.99
151,805.81,834.99
152,805.81,834.99
153,805.81,834.99
154,805.81,834.99
155,805.81,834.99
156,805.81,834.99
157,805.81,834.99
158,805.81,834.99
159,805.81,834.99
160,805.81,834.99
161,805.81,834.99
162,805.81,834.99
163,805.81,834.99
164,805.81,834.99
165,805.81,834.99
166,805.81,834.99
167,805.81,834.99
168,805.81,834.99
169,832.74,957.25
170,832.74,957.25
171,832.74,957.25
172,832.74,957.25
173,832.74,957.25
174,832.74,957.25
175,832.74,957.25
176,832.74,957.25
177,832.74,957.25
178,832.74,957.25
179,832.74,957.25
180,832.74,957.25
181,832.74,957.25
182,832.74,957.25
183,832.74,957.25
184,832.74,957.25
185,832.74,957.25
186,832.74,957.25
187,832.74,957.25
188,832.74,957.25
189,832.74,957.25
190,832.74,957.25
191,832.74,957.25
192,832.74,957.25
