,2010,2015
1,0.339,0.183
2,0.306,0.154
3,0.289,0.15
4,0.285,0.145
5,0.28,0.146
6,0.332,0.185
7,0.384,0.229
8,0.415,0.327
9,0.42,0.332
10,0.422,0.332
11,0.422,0.352
12,0.418,0.346
13,0.411,0.309
14,0.411,0.312
15,0.415,0.323
16,0.421,0.327
17,0.43,0.338
18,0.452,0.371
19,0.447,0.361
20,0.432,0.319
21,0.407,0.266
22,0.384,0.218
23,0.384,0.217
24,0.363,0.203
25,0.112,0.059
26,0.105,0.056
27,0.097,0.055
28,0.087,0.053
29,0.085,0.053
30,0.091,0.054
31,0.095,0.055
32,0.112,0.059
33,0.118,0.06
34,0.13,0.067
35,0.129,0.067
36,0.132,0.067
37,0.127,0.065
38,0.126,0.064
39,0.124,0.064
40,0.13,0.066
41,0.137,0.068
42,0.141,0.074
43,0.141,0.075
44,0.138,0.07
45,0.136,0.063
46,0.123,0.06
47,0.129,0.062
48,0.117,0.059
49,0.2,0.132
50,0.178,0.126
51,0.174,0.123
52,0.159,0.121
53,0.175,0.124
54,0.218,0.135
55,0.28,0.155
56,0.322,0.168
57,0.322,0.174
58,0.314,0.165
59,0.312,0.167
60,0.321,0.164
61,0.297,0.157
62,0.298,0.154
63,0.297,0.154
64,0.318,0.159
65,0.323,0.161
66,0.316,0.164
67,0.319,0.162
68,0.32,0.162
69,0.32,0.159
70,0.285,0.147
71,0.28,0.146
72,0.236,0.139
73,0.066,0.049
74,0.054,0.047
75,0.053,0.046
76,0.047,0.045
77,0.047,0.044
78,0.052,0.046
79,0.055,0.047
80,0.057,0.049
81,0.06,0.05
82,0.062,0.051
83,0.067,0.052
84,0.069,0.052
85,0.06,0.051
86,0.061,0.051
87,0.06,0.05
88,0.059,0.05
89,0.059,0.049
90,0.065,0.05
91,0.068,0.05
92,0.07,0.051
93,0.08,0.052
94,0.069,0.05
95,0.073,0.051
96,0.065,0.049
97,0.174,0.127
98,0.148,0.12
99,0.133,0.117
100,0.129,0.113
101,0.135,0.116
102,0.164,0.125
103,0.222,0.141
104,0.267,0.161
105,0.275,0.162
106,0.271,0.158
107,0.29,0.161
108,0.284,0.166
109,0.285,0.155
110,0.271,0.157
111,0.273,0.159
112,0.285,0.159
113,0.285,0.16
114,0.303,0.166
115,0.294,0.166
116,0.277,0.159
117,0.262,0.15
118,0.242,0.145
119,0.236,0.144
120,0.203,0.134
121,0.05,0.047
122,0.049,0.045
123,0.049,0.043
124,0.046,0.042
125,0.045,0.041
126,0.046,0.042
127,0.048,0.044
128,0.052,0.047
129,0.055,0.048
130,0.062,0.05
131,0.064,0.051
132,0.065,0.051
133,0.063,0.05
134,0.063,0.05
135,0.062,0.05
136,0.057,0.049
137,0.055,0.049
138,0.06,0.049
139,0.061,0.049
140,0.056,0.049
141,0.055,0.048
142,0.06,0.048
143,0.06,0.048
144,0.05,0.047
145,0.223,0.136
146,0.19,0.13
147,0.187,0.128
148,0.172,0.125
149,0.186,0.127
150,0.243,0.14
151,0.332,0.169
152,0.368,0.221
153,0.367,0.23
154,0.355,0.226
155,0.351,0.212
156,0.347,0.206
157,0.339,0.197
158,0.339,0.198
159,0.341,0.193
160,0.347,0.206
161,0.36,0.21
162,0.364,0.213
163,0.378,0.224
164,0.377,0.223
165,0.359,0.195
166,0.318,0.154
167,0.312,0.151
168,0.271,0.146
169,0.075,0.051
170,0.065,0.05
171,0.059,0.049
172,0.053,0.047
173,0.052,0.046
174,0.057,0.048
175,0.066,0.05
176,0.075,0.052
177,0.076,0.053
178,0.078,0.053
179,0.08,0.053
180,0.083,0.053
181,0.074,0.053
182,0.074,0.053
183,0.072,0.053
184,0.074,0.053
185,0.076,0.053
186,0.087,0.053
187,0.093,0.055
188,0.096,0.055
189,0.087,0.054
190,0.079,0.053
191,0.08,0.053
192,0.077,0.051
