,2010,2015
COA_SUB_HC,97.907,97.907
COA_SC_HC,0.0,0.0
COA_USC_HC,0.0,0.0
COA_IGCC_HC,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0
COA_SUB_LN,269.245,269.245
COA_SC_LN,173.174,138.906
COA_USC_LN,0.0,0.0
COA_IGCC_LN,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0
GAS_GT,128.495,119.7
GAS_CC,214.581,254.816
GAS_NGCC_POS_CCS,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0
NUK_LWR,1843.572,1843.572
REW_HYD_LG,406.777,491.302
REW_HYD_SM,0.0,0.0
REW_HYD_PS,92.201,109.597
REW_WND_ON_2025,0.0,0.0
REW_WND_ON_2530,108.838,209.006
REW_WND_ON_3035,217.114,344.254
REW_WND_ON_3540,0.0,392.149
REW_WND_ON_40UP,0.0,281.543
REW_WND_OFF_2025,0.0,0.0
REW_WND_OFF_2530,0.0,0.0
REW_WND_OFF_3035,0.0,0.0
REW_WND_OFF_3540,0.0,0.0
REW_WND_OFF_4045,0.0,178.8
REW_WND_OFF_4550,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0
REW_PV_UTI,488.53,549.305
REW_PV_RFT,0.0,0.0
REW_PV_CSP,0.0,0.0
REW_PV_CSP_6h,0.0,0.0
REW_GEO_FLA,0.0,0.0
REW_GEO_BIN,37.358,37.358
REW_GEO_EGS,0.0,0.0
BIO_ST,141.649,141.649
BIO_CHP,78.699,78.699
BIO_IGCC,0.0,0.0
BIO_IGCC_CCS,0.0,0.0
BIO_IGCC_CHP,0.0,0.0
COA_CHP_BP_DH,128.468,128.468
COA_CHP_EC_DH,0.0,0.0
GAS_CHP_BP_DH,27.232,27.232
GAS_CHP_EC_DH,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,13.833
OIL_ST,118.394,109.286
