,2010,2015
COA_SUB_HC,800.0,800.0
COA_SC_HC,0.0,0.0
COA_USC_HC,0.0,0.0
COA_IGCC_HC,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0
COA_SUB_LN,2200.0,2200.0
COA_SC_LN,1340.0,1060.0
COA_USC_LN,0.0,0.0
COA_IGCC_LN,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0
GAS_GT,2630.0,2450.0
GAS_CC,3200.0,3800.0
GAS_NGCC_POS_CCS,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0
NUK_LWR,6345.0,6345.0
REW_HYD_LG,3850.0,4650.0
REW_HYD_SM,0.0,0.0
REW_HYD_PS,530.0,630.0
REW_WND_ON_2025,0.0,0.0
REW_WND_ON_2530,902.325,1732.775
REW_WND_ON_3035,1800.0,3087.0
REW_WND_ON_3540,0.0,3163.0
REW_WND_ON_40UP,0.0,2850.0
REW_WND_OFF_2025,0.0,0.0
REW_WND_OFF_2530,0.0,0.0
REW_WND_OFF_3035,0.0,0.0
REW_WND_OFF_3540,0.0,0.0
REW_WND_OFF_4045,0.0,600.0
REW_WND_OFF_4550,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0
REW_PV_UTI,3135.0,3525.0
REW_PV_RFT,0.0,0.0
REW_PV_CSP,0.0,0.0
REW_PV_CSP_6h,0.0,0.0
REW_GEO_FLA,0.0,0.0
REW_GEO_BIN,300.0,300.0
REW_GEO_EGS,0.0,0.0
BIO_ST,880.0,880.0
BIO_CHP,400.0,400.0
BIO_IGCC,0.0,0.0
BIO_IGCC_CCS,0.0,0.0
BIO_IGCC_CHP,0.0,0.0
COA_CHP_BP_DH,1100.0,1100.0
COA_CHP_EC_DH,0.0,0.0
GAS_CHP_BP_DH,490.0,490.0
GAS_CHP_EC_DH,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,100.0
OIL_ST,910.0,840.0
