,2010,2015
1,2297.82,2471.64
2,2244.57,2471.64
3,2212.65,2452.73
4,2176.9,2431.25
5,2189.21,2438.68
6,2282.41,2471.64
7,2401.27,2471.64
8,2403.68,2471.64
9,2403.68,2471.64
10,2403.68,2471.64
11,2403.68,2471.64
12,2403.68,2471.64
13,2403.68,2471.64
14,2403.68,2471.64
15,2403.68,2471.64
16,2403.68,2471.64
17,2403.68,2471.64
18,2403.68,2471.64
19,2403.68,2471.64
20,2403.68,2471.64
21,2403.68,2471.64
22,2403.68,2471.64
23,2403.68,2471.64
24,2367.56,2471.64
25,2244.79,2471.64
26,2188.71,2438.38
27,2153.23,2403.5
28,2084.95,2351.8
29,2071.93,2342.01
30,2113.17,2373.02
31,2135.0,2389.44
32,2235.91,2466.68
33,2314.21,2471.64
34,2378.01,2471.64
35,2403.68,2471.64
36,2403.68,2471.64
37,2395.77,2471.64
38,2380.13,2471.64
39,2366.96,2471.64
40,2363.39,2471.64
41,2384.44,2471.64
42,2403.68,2471.64
43,2403.68,2471.64
44,2403.68,2471.64
45,2379.29,2471.64
46,2317.3,2471.64
47,2360.43,2471.64
48,2288.81,2471.64
49,2091.0,2356.35
50,1996.07,2284.95
51,1956.93,2255.51
52,1918.15,2226.34
53,1954.87,2253.95
54,2128.03,2384.2
55,2303.11,2471.64
56,2402.05,2471.64
57,2403.68,2471.64
58,2403.68,2471.64
59,2403.68,2471.64
60,2403.68,2471.64
61,2403.68,2471.64
62,2403.68,2471.64
63,2403.68,2471.64
64,2403.68,2471.64
65,2392.49,2471.64
66,2386.72,2471.64
67,2382.74,2471.64
68,2384.52,2471.64
69,2385.65,2471.64
70,2319.23,2471.64
71,2292.91,2471.64
72,2190.94,2439.72
73,2030.02,2310.48
74,1924.7,2231.26
75,1874.98,2187.53
76,1795.53,2104.28
77,1789.04,2096.66
78,1855.77,2170.95
79,1910.12,2220.27
80,2030.82,2311.08
81,2146.77,2398.3
82,2207.05,2449.38
83,2242.42,2470.58
84,2271.78,2471.64
85,2217.07,2455.39
86,2171.39,2424.78
87,2127.26,2383.62
88,2093.81,2358.46
89,2081.33,2349.07
90,2101.95,2364.58
91,2131.5,2386.81
92,2172.44,2426.02
93,2203.76,2447.41
94,2142.09,2394.78
95,2159.69,2411.08
96,2040.54,2318.39
97,2013.57,2298.1
98,1915.71,2224.51
99,1866.95,2180.6
100,1807.28,2118.06
101,1842.12,2158.88
102,1984.65,2276.36
103,2218.29,2456.12
104,2364.88,2471.64
105,2403.68,2471.64
106,2403.68,2471.64
107,2403.68,2471.64
108,2403.68,2471.64
109,2403.68,2471.64
110,2403.68,2471.64
111,2403.68,2471.64
112,2403.68,2471.64
113,2396.41,2471.64
114,2388.48,2471.64
115,2371.31,2471.64
116,2330.77,2471.64
117,2285.5,2471.64
118,2270.23,2471.64
119,2238.54,2468.26
120,2130.77,2386.26
121,1956.21,2254.97
122,1836.02,2151.73
123,1767.4,2071.31
124,1692.0,1982.95
125,1668.88,1955.84
126,1690.72,1981.47
127,1794.38,2102.95
128,1944.15,2245.9
129,2075.25,2344.49
130,2167.09,2419.76
131,2211.17,2451.84
132,2243.61,2471.3
133,2203.67,2447.35
134,2170.41,2423.63
135,2133.64,2388.42
136,2114.6,2374.1
137,2100.98,2363.84
138,2112.37,2372.42
139,2102.89,2365.29
140,2079.09,2347.38
141,2069.96,2340.52
142,2072.9,2342.73
143,2073.13,2342.91
144,1949.84,2250.18
145,2134.81,2389.3
146,2047.86,2323.89
147,2009.25,2294.86
148,1965.56,2262.0
149,2003.29,2290.37
150,2172.46,2426.05
151,2370.6,2471.64
152,2403.68,2471.64
153,2403.68,2471.64
154,2403.68,2471.64
155,2403.68,2471.64
156,2403.68,2471.64
157,2403.68,2471.64
158,2403.68,2471.64
159,2403.68,2471.64
160,2403.68,2471.64
161,2403.68,2471.64
162,2403.68,2471.64
163,2403.68,2471.64
164,2403.68,2471.64
165,2403.68,2471.64
166,2355.85,2471.64
167,2324.58,2471.64
168,2227.37,2461.56
169,2078.96,2347.29
170,1978.94,2272.06
171,1928.34,2234.01
172,1850.61,2166.49
173,1845.13,2161.77
174,1914.72,2223.76
175,1998.59,2286.83
176,2123.19,2380.56
177,2205.73,2448.59
178,2257.84,2471.64
179,2297.91,2471.64
180,2320.72,2471.64
181,2266.26,2471.64
182,2220.98,2457.73
183,2189.9,2439.09
184,2175.06,2429.08
185,2180.42,2433.4
186,2230.33,2463.34
187,2299.83,2471.64
188,2312.06,2471.64
189,2253.05,2471.64
190,2173.89,2427.71
191,2184.7,2435.97
192,2084.68,2351.6
