,2010,2015
1,824336.5,965623.1
2,787814.3,923038.35
3,766073.1,897432.9
4,741607.1,868754.25
5,750042.8,878611.5
6,813804.55,953251.65
7,919532.25,1077579.1
8,1033271.2,1211620.15
9,1075994.4,1261705.25
10,1097010.2,1286229.75
11,1112352.15,1304193.15
12,1118195.65,1311069.5
13,1088439.95,1275914.25
14,1076895.3,1262530.75
15,1063484.5,1247006.15
16,1056434.6,1238736.2
17,1079668.85,1266036.85
18,1136192.85,1332090.5
19,1128446.15,1323075.0
20,1081085.85,1267808.75
21,1007412.9,1181313.9
22,934194.3,1094804.1
23,938378.35,1099664.15
24,874459.95,1024712.0
25,315225.04,369267.6
26,299864.76,351288.34
27,290138.94,339881.62
28,278046.6,325844.22
29,275758.34,323174.28
30,283011.56,331568.38
31,286850.98,336046.1
32,312807.56,366408.9
33,334208.16,391492.4
34,355511.52,416418.08
35,369612.36,432937.18
36,377661.96,442364.26
37,364993.46,427559.34
38,356636.8,417768.78
39,349588.98,409504.16
40,347661.08,407261.92
41,358953.66,420447.04
42,383243.9,449184.58
43,384944.3,451159.8
44,374344.88,438657.96
45,356161.78,417236.56
46,335024.3,392524.86
47,346841.04,406340.48
48,327272.92,383378.58
49,697838.7,817787.1
50,656340.75,776185.15
51,639064.4,759602.35
52,622012.95,743368.6
53,638142.05,756512.25
54,714006.15,836570.15
55,827920.6,969839.0
56,920925.85,1078600.9
57,963533.35,1128606.05
58,974646.4,1141827.05
59,989749.8,1159412.15
60,1003135.25,1175114.85
61,971081.15,1137624.15
62,958434.1,1122776.85
63,942425.9,1104017.85
64,926641.3,1085420.05
65,908090.95,1063646.35
66,900334.5,1054657.5
67,895017.5,1048444.8
68,897383.5,1051162.45
69,898903.2,1052983.1
70,838921.85,982808.45
71,820929.85,961683.45
72,751107.5,879971.3
73,268450.78,322585.12
74,249979.86,292942.52
75,242534.5,284509.16
76,232287.38,273543.4
77,231447.06,273545.74
78,240054.1,281299.46
79,247418.86,289917.42
80,268586.5,314750.28
81,288993.38,340438.54
82,304942.3,358844.98
83,314609.88,371243.08
84,322621.78,378854.32
85,307671.0,366875.34
86,295158.76,353571.92
87,285524.72,340671.76
88,279640.14,329057.04
89,277448.08,325135.46
90,281090.16,337163.84
91,286310.96,341413.8
92,295442.68,351247.0
93,303964.7,358537.92
94,288166.06,344623.5
95,291969.34,347856.86
96,270295.74,325698.1
97,663982.8,778074.7
98,621028.85,739094.2
99,603762.25,722651.15
100,584531.35,704767.05
101,595755.55,714671.75
102,651292.85,763192.3
103,769859.35,901924.4
104,871087.75,1020562.4
105,927546.75,1086618.0
106,955123.0,1118967.2
107,982624.5,1151329.4
108,1005225.0,1177915.05
109,975159.25,1142517.35
110,964763.15,1130292.8
111,947245.65,1109750.85
112,932202.05,1092280.15
113,913261.05,1069989.7
114,902774.6,1057294.55
115,879686.6,1030324.1
116,846867.45,991795.35
117,815935.9,955726.85
118,805390.3,943603.7
119,783615.3,918243.3
120,715320.45,838039.15
121,255559.2,300642.68
122,237533.66,280028.58
123,228651.02,271417.38
124,218892.44,262201.42
125,215911.8,259620.4
126,219017.5,262494.7
127,232148.02,279082.44
128,253438.38,304738.46
129,276428.1,331659.12
130,293998.38,353470.0
131,306070.44,367313.96
132,314959.58,372583.38
133,304014.62,366125.24
134,294923.2,355340.7
135,286692.64,343586.1
136,283331.36,338617.24
137,280943.52,329702.88
138,282954.88,332829.12
139,281288.28,336038.04
140,277122.56,332052.76
141,275518.62,332181.2
142,276020.16,333351.72
143,276059.68,333546.98
144,254445.1,298431.38
145,716987.05,840228.35
146,678971.8,796991.0
147,662038.0,781482.0
148,642898.75,764198.5
149,659430.2,778765.65
150,738474.75,865143.5
151,878801.95,1029369.25
152,986137.1,1155554.4
153,1013538.5,1187791.15
154,1018604.6,1193886.2
155,1030985.15,1208143.95
156,1039286.3,1217881.6
157,1005105.4,1177761.65
158,988484.25,1158281.15
159,970011.9,1136556.2
160,954029.7,1117834.9
161,944386.3,1106381.9
162,959871.9,1124670.95
163,1007663.15,1180930.4
164,1008741.5,1182175.8
165,947905.4,1110547.75
166,863982.6,1012095.5
167,842634.0,987052.95
168,776158.5,909210.9
169,277052.1,330055.7
170,259479.48,304078.32
171,250608.8,293688.46
172,239384.86,280525.7
173,238677.14,279692.14
174,248222.26,290880.72
175,262955.16,317293.34
176,284836.24,339240.98
177,304577.26,356778.5
178,318823.7,373490.78
179,329782.7,386336.6
180,336006.06,393634.8
181,321127.3,380624.66
182,308748.7,361732.28
183,300267.76,351754.26
184,296171.46,355557.8
185,297616.54,352430.26
186,311223.38,364645.06
187,330207.8,386913.02
188,333566.48,390825.76
189,317453.5,371974.46
190,295859.46,350711.4
191,298810.98,353946.06
192,278041.66,331307.6
