,2010,2015
1,0.081,0.079
2,0.08,0.075
3,0.079,0.075
4,0.078,0.075
5,0.078,0.075
6,0.081,0.08
7,0.082,0.085
8,0.083,0.116
9,0.088,0.114
10,0.093,0.115
11,0.096,0.123
12,0.088,0.121
13,0.088,0.112
14,0.087,0.113
15,0.091,0.116
16,0.091,0.116
17,0.102,0.115
18,0.13,0.121
19,0.122,0.119
20,0.106,0.108
21,0.083,0.094
22,0.081,0.08
23,0.081,0.079
24,0.083,0.08
25,0.076,0.073
26,0.076,0.074
27,0.076,0.074
28,0.074,0.074
29,0.074,0.074
30,0.075,0.074
31,0.075,0.074
32,0.077,0.073
33,0.078,0.073
34,0.081,0.076
35,0.081,0.076
36,0.082,0.077
37,0.083,0.078
38,0.083,0.077
39,0.08,0.076
40,0.078,0.074
41,0.076,0.071
42,0.077,0.073
43,0.077,0.075
44,0.076,0.072
45,0.076,0.069
46,0.076,0.07
47,0.076,0.07
48,0.076,0.071
49,0.072,0.073
50,0.071,0.073
51,0.071,0.073
52,0.071,0.073
53,0.071,0.073
54,0.074,0.074
55,0.076,0.073
56,0.079,0.073
57,0.079,0.076
58,0.081,0.077
59,0.082,0.078
60,0.083,0.078
61,0.083,0.078
62,0.083,0.078
63,0.081,0.077
64,0.08,0.075
65,0.078,0.073
66,0.076,0.071
67,0.075,0.07
68,0.075,0.069
69,0.075,0.069
70,0.074,0.07
71,0.074,0.07
72,0.074,0.072
73,0.068,0.069
74,0.068,0.07
75,0.068,0.071
76,0.068,0.071
77,0.068,0.071
78,0.068,0.072
79,0.07,0.073
80,0.072,0.074
81,0.074,0.076
82,0.076,0.078
83,0.078,0.078
84,0.078,0.079
85,0.078,0.08
86,0.079,0.08
87,0.078,0.079
88,0.074,0.077
89,0.071,0.073
90,0.068,0.069
91,0.066,0.067
92,0.065,0.066
93,0.066,0.066
94,0.066,0.066
95,0.066,0.066
96,0.067,0.068
97,0.07,0.073
98,0.07,0.072
99,0.069,0.072
100,0.068,0.072
101,0.068,0.072
102,0.072,0.074
103,0.073,0.074
104,0.077,0.076
105,0.079,0.077
106,0.08,0.077
107,0.081,0.078
108,0.08,0.078
109,0.082,0.078
110,0.08,0.078
111,0.079,0.077
112,0.079,0.076
113,0.077,0.074
114,0.075,0.072
115,0.073,0.071
116,0.072,0.07
117,0.072,0.07
118,0.07,0.07
119,0.07,0.071
120,0.071,0.073
121,0.065,0.069
122,0.066,0.07
123,0.066,0.07
124,0.066,0.07
125,0.066,0.07
126,0.068,0.072
127,0.071,0.075
128,0.074,0.077
129,0.075,0.078
130,0.076,0.079
131,0.078,0.079
132,0.078,0.08
133,0.078,0.08
134,0.078,0.08
135,0.077,0.079
136,0.073,0.076
137,0.071,0.074
138,0.067,0.069
139,0.064,0.066
140,0.064,0.066
141,0.064,0.066
142,0.064,0.066
143,0.064,0.066
144,0.066,0.069
145,0.074,0.073
146,0.072,0.073
147,0.072,0.073
148,0.071,0.073
149,0.072,0.073
150,0.075,0.074
151,0.077,0.072
152,0.079,0.082
153,0.079,0.084
154,0.082,0.085
155,0.082,0.082
156,0.083,0.081
157,0.084,0.082
158,0.084,0.082
159,0.082,0.08
160,0.081,0.081
161,0.079,0.079
162,0.078,0.08
163,0.078,0.08
164,0.078,0.083
165,0.077,0.074
166,0.076,0.07
167,0.077,0.071
168,0.077,0.074
169,0.069,0.07
170,0.07,0.072
171,0.069,0.072
172,0.069,0.072
173,0.069,0.072
174,0.069,0.073
175,0.07,0.072
176,0.07,0.071
177,0.072,0.073
178,0.074,0.074
179,0.076,0.076
180,0.077,0.076
181,0.077,0.078
182,0.078,0.079
183,0.076,0.077
184,0.072,0.074
185,0.07,0.071
186,0.068,0.068
187,0.068,0.066
188,0.068,0.066
189,0.068,0.067
190,0.068,0.068
191,0.067,0.068
192,0.07,0.07
