,2010,2015
1,207.62,203.19
2,207.62,203.19
3,207.62,203.19
4,207.62,203.19
5,207.62,203.19
6,207.62,203.19
7,207.62,203.19
8,207.62,203.19
9,207.62,203.19
10,207.62,203.19
11,207.62,203.19
12,207.62,203.19
13,207.62,203.19
14,207.62,203.19
15,207.62,203.19
16,207.62,203.19
17,207.62,203.19
18,207.62,203.19
19,207.62,203.19
20,207.62,203.19
21,207.62,203.19
22,207.62,203.19
23,207.62,203.19
24,207.62,203.19
25,234.12,200.11
26,234.12,200.11
27,234.12,200.11
28,234.12,200.11
29,234.12,200.11
30,234.12,200.11
31,234.12,200.11
32,234.12,200.11
33,234.12,200.11
34,234.12,200.11
35,234.12,200.11
36,234.12,200.11
37,234.12,200.11
38,234.12,200.11
39,234.12,200.11
40,234.12,200.11
41,234.12,200.11
42,234.12,200.11
43,234.12,200.11
44,234.12,200.11
45,234.12,200.11
46,234.12,200.11
47,234.12,200.11
48,234.12,200.11
49,216.45,212.03
50,216.45,212.03
51,216.45,212.03
52,216.45,212.03
53,216.45,212.03
54,216.45,212.03
55,216.45,212.03
56,216.45,212.03
57,216.45,212.03
58,216.45,212.03
59,216.45,212.03
60,216.45,212.03
61,216.45,212.03
62,216.45,212.03
63,216.45,212.03
64,216.45,212.03
65,216.45,212.03
66,216.45,212.03
67,216.45,212.03
68,216.45,212.03
69,216.45,212.03
70,216.45,212.03
71,216.45,212.03
72,216.45,212.03
73,251.79,205.86
74,251.79,205.86
75,251.79,205.86
76,251.79,205.86
77,251.79,205.86
78,251.79,205.86
79,251.79,205.86
80,251.79,205.86
81,251.79,205.86
82,251.79,205.86
83,251.79,205.86
84,251.79,205.86
85,251.79,205.86
86,251.79,205.86
87,251.79,205.86
88,251.79,205.86
89,251.79,205.86
90,251.79,205.86
91,251.79,205.86
92,251.79,205.86
93,251.79,205.86
94,251.79,205.86
95,251.79,205.86
96,251.79,205.86
97,242.96,203.19
98,242.96,203.19
99,242.96,203.19
100,242.96,203.19
101,242.96,203.19
102,242.96,203.19
103,242.96,203.19
104,242.96,203.19
105,242.96,203.19
106,242.96,203.19
107,242.96,203.19
108,242.96,203.19
109,242.96,203.19
110,242.96,203.19
111,242.96,203.19
112,242.96,203.19
113,242.96,203.19
114,242.96,203.19
115,242.96,203.19
116,242.96,203.19
117,242.96,203.19
118,242.96,203.19
119,242.96,203.19
120,242.96,203.19
121,251.79,205.86
122,251.79,205.86
123,251.79,205.86
124,251.79,205.86
125,251.79,205.86
126,251.79,205.86
127,251.79,205.86
128,251.79,205.86
129,251.79,205.86
130,251.79,205.86
131,251.79,205.86
132,251.79,205.86
133,251.79,205.86
134,251.79,205.86
135,251.79,205.86
136,251.79,205.86
137,251.79,205.86
138,251.79,205.86
139,251.79,205.86
140,251.79,205.86
141,251.79,205.86
142,251.79,205.86
143,251.79,205.86
144,251.79,205.86
145,291.56,203.19
146,291.56,203.19
147,291.56,203.19
148,291.56,203.19
149,291.56,203.19
150,291.56,203.19
151,291.56,203.19
152,291.56,203.19
153,291.56,203.19
154,291.56,203.19
155,291.56,203.19
156,291.56,203.19
157,291.56,203.19
158,291.56,203.19
159,291.56,203.19
160,291.56,203.19
161,291.56,203.19
162,291.56,203.19
163,291.56,203.19
164,291.56,203.19
165,291.56,203.19
166,291.56,203.19
167,291.56,203.19
168,291.56,203.19
169,216.45,200.11
170,216.45,200.11
171,216.45,200.11
172,216.45,200.11
173,216.45,200.11
174,216.45,200.11
175,216.45,200.11
176,216.45,200.11
177,216.45,200.11
178,216.45,200.11
179,216.45,200.11
180,216.45,200.11
181,216.45,200.11
182,216.45,200.11
183,216.45,200.11
184,216.45,200.11
185,216.45,200.11
186,216.45,200.11
187,216.45,200.11
188,216.45,200.11
189,216.45,200.11
190,216.45,200.11
191,216.45,200.11
192,216.45,200.11
