,2010,2015
1,61.64,73.6
2,61.64,73.6
3,61.64,73.6
4,61.64,73.6
5,61.64,73.6
6,61.64,73.6
7,61.64,73.6
8,61.64,73.6
9,61.64,73.6
10,61.64,73.6
11,61.64,73.6
12,61.64,73.6
13,61.64,73.6
14,61.64,73.6
15,61.64,73.6
16,61.64,73.6
17,61.64,73.6
18,61.64,73.6
19,61.64,73.6
20,61.64,73.6
21,61.64,73.6
22,61.64,73.6
23,61.64,73.6
24,61.64,73.6
25,53.02,61.23
26,53.02,61.23
27,53.02,61.23
28,53.02,61.23
29,53.02,61.23
30,53.02,61.23
31,53.02,61.23
32,53.02,61.23
33,53.02,61.23
34,53.02,61.23
35,53.02,61.23
36,53.02,61.23
37,53.02,61.23
38,53.02,61.23
39,53.02,61.23
40,53.02,61.23
41,53.02,61.23
42,53.02,61.23
43,53.02,61.23
44,53.02,61.23
45,53.02,61.23
46,53.02,61.23
47,53.02,61.23
48,53.02,61.23
49,54.35,64.1
50,54.35,64.1
51,54.35,64.1
52,54.35,64.1
53,54.35,64.1
54,54.35,64.1
55,54.35,64.1
56,54.35,64.1
57,54.35,64.1
58,54.35,64.1
59,54.35,64.1
60,54.35,64.1
61,54.35,64.1
62,54.35,64.1
63,54.35,64.1
64,54.35,64.1
65,54.35,64.1
66,54.35,64.1
67,54.35,64.1
68,54.35,64.1
69,54.35,64.1
70,54.35,64.1
71,54.35,64.1
72,54.35,64.1
73,43.75,51.73
74,43.75,51.73
75,43.75,51.73
76,43.75,51.73
77,43.75,51.73
78,43.75,51.73
79,43.75,51.73
80,43.75,51.73
81,43.75,51.73
82,43.75,51.73
83,43.75,51.73
84,43.75,51.73
85,43.75,51.73
86,43.75,51.73
87,43.75,51.73
88,43.75,51.73
89,43.75,51.73
90,43.75,51.73
91,43.75,51.73
92,43.75,51.73
93,43.75,51.73
94,43.75,51.73
95,43.75,51.73
96,43.75,51.73
97,57.43,70.73
98,57.43,70.73
99,57.43,70.73
100,57.43,70.73
101,57.43,70.73
102,57.43,70.73
103,57.43,70.73
104,57.43,70.73
105,57.43,70.73
106,57.43,70.73
107,57.43,70.73
108,57.43,70.73
109,57.43,70.73
110,57.43,70.73
111,57.43,70.73
112,57.43,70.73
113,57.43,70.73
114,57.43,70.73
115,57.43,70.73
116,57.43,70.73
117,57.43,70.73
118,57.43,70.73
119,57.43,70.73
120,57.43,70.73
121,43.75,51.73
122,43.75,51.73
123,43.75,51.73
124,43.75,51.73
125,43.75,51.73
126,43.75,51.73
127,43.75,51.73
128,43.75,51.73
129,43.75,51.73
130,43.75,51.73
131,43.75,51.73
132,43.75,51.73
133,43.75,51.73
134,43.75,51.73
135,43.75,51.73
136,43.75,51.73
137,43.75,51.73
138,43.75,51.73
139,43.75,51.73
140,43.75,51.73
141,43.75,51.73
142,43.75,51.73
143,43.75,51.73
144,43.75,51.73
145,56.33,70.73
146,56.33,70.73
147,56.33,70.73
148,56.33,70.73
149,56.33,70.73
150,56.33,70.73
151,56.33,70.73
152,56.33,70.73
153,56.33,70.73
154,56.33,70.73
155,56.33,70.73
156,56.33,70.73
157,56.33,70.73
158,56.33,70.73
159,56.33,70.73
160,56.33,70.73
161,56.33,70.73
162,56.33,70.73
163,56.33,70.73
164,56.33,70.73
165,56.33,70.73
166,56.33,70.73
167,56.33,70.73
168,56.33,70.73
169,46.4,61.23
170,46.4,61.23
171,46.4,61.23
172,46.4,61.23
173,46.4,61.23
174,46.4,61.23
175,46.4,61.23
176,46.4,61.23
177,46.4,61.23
178,46.4,61.23
179,46.4,61.23
180,46.4,61.23
181,46.4,61.23
182,46.4,61.23
183,46.4,61.23
184,46.4,61.23
185,46.4,61.23
186,46.4,61.23
187,46.4,61.23
188,46.4,61.23
189,46.4,61.23
190,46.4,61.23
191,46.4,61.23
192,46.4,61.23
