,2010,2015
1,0.082,0.074
2,0.078,0.057
3,0.074,0.055
4,0.076,0.054
5,0.077,0.054
6,0.081,0.073
7,0.086,0.078
8,0.102,0.09
9,0.102,0.087
10,0.102,0.086
11,0.102,0.085
12,0.102,0.09
13,0.102,0.083
14,0.102,0.083
15,0.102,0.086
16,0.102,0.085
17,0.103,0.087
18,0.112,0.099
19,0.112,0.097
20,0.106,0.087
21,0.102,0.085
22,0.086,0.078
23,0.086,0.078
24,0.085,0.078
25,0.03,0.022
26,0.031,0.021
27,0.03,0.021
28,0.029,0.02
29,0.029,0.02
30,0.03,0.02
31,0.03,0.021
32,0.03,0.022
33,0.029,0.022
34,0.031,0.022
35,0.031,0.022
36,0.032,0.022
37,0.029,0.022
38,0.029,0.022
39,0.029,0.022
40,0.032,0.022
41,0.032,0.022
42,0.034,0.024
43,0.034,0.024
44,0.033,0.024
45,0.032,0.022
46,0.032,0.022
47,0.031,0.022
48,0.03,0.022
49,0.073,0.049
50,0.07,0.046
51,0.068,0.045
52,0.065,0.044
53,0.068,0.045
54,0.074,0.05
55,0.073,0.053
56,0.078,0.058
57,0.078,0.058
58,0.08,0.056
59,0.079,0.058
60,0.079,0.057
61,0.074,0.053
62,0.074,0.053
63,0.075,0.054
64,0.077,0.054
65,0.08,0.054
66,0.078,0.055
67,0.08,0.054
68,0.08,0.054
69,0.08,0.054
70,0.078,0.054
71,0.075,0.053
72,0.076,0.052
73,0.026,0.016
74,0.023,0.016
75,0.025,0.016
76,0.023,0.016
77,0.022,0.016
78,0.024,0.016
79,0.024,0.016
80,0.023,0.016
81,0.024,0.016
82,0.025,0.016
83,0.025,0.016
84,0.025,0.016
85,0.022,0.016
86,0.024,0.016
87,0.024,0.016
88,0.024,0.016
89,0.024,0.016
90,0.025,0.016
91,0.026,0.016
92,0.028,0.017
93,0.029,0.017
94,0.027,0.016
95,0.028,0.016
96,0.026,0.016
97,0.071,0.046
98,0.064,0.043
99,0.061,0.042
100,0.066,0.04
101,0.068,0.042
102,0.068,0.045
103,0.076,0.049
104,0.082,0.052
105,0.082,0.051
106,0.082,0.051
107,0.082,0.052
108,0.082,0.053
109,0.082,0.05
110,0.082,0.053
111,0.082,0.053
112,0.082,0.051
113,0.082,0.052
114,0.081,0.056
115,0.082,0.057
116,0.081,0.056
117,0.08,0.052
118,0.079,0.051
119,0.078,0.05
120,0.076,0.049
121,0.023,0.016
122,0.024,0.016
123,0.025,0.015
124,0.023,0.015
125,0.023,0.014
126,0.023,0.015
127,0.024,0.015
128,0.025,0.016
129,0.024,0.016
130,0.024,0.016
131,0.025,0.016
132,0.026,0.016
133,0.024,0.016
134,0.025,0.016
135,0.025,0.016
136,0.025,0.016
137,0.023,0.016
138,0.023,0.016
139,0.024,0.016
140,0.024,0.016
141,0.024,0.016
142,0.024,0.016
143,0.024,0.016
144,0.023,0.016
145,0.074,0.051
146,0.072,0.048
147,0.071,0.047
148,0.07,0.046
149,0.071,0.047
150,0.075,0.053
151,0.082,0.058
152,0.087,0.075
153,0.086,0.075
154,0.088,0.075
155,0.086,0.074
156,0.087,0.076
157,0.082,0.073
158,0.081,0.073
159,0.082,0.073
160,0.083,0.074
161,0.084,0.075
162,0.084,0.075
163,0.089,0.077
164,0.089,0.077
165,0.084,0.075
166,0.081,0.057
167,0.08,0.056
168,0.074,0.055
169,0.028,0.018
170,0.028,0.018
171,0.026,0.018
172,0.024,0.017
173,0.024,0.017
174,0.026,0.017
175,0.027,0.018
176,0.028,0.018
177,0.028,0.018
178,0.028,0.018
179,0.028,0.018
180,0.028,0.018
181,0.027,0.018
182,0.028,0.018
183,0.028,0.018
184,0.027,0.018
185,0.029,0.018
186,0.029,0.018
187,0.03,0.019
188,0.03,0.02
189,0.029,0.018
190,0.028,0.018
191,0.028,0.018
192,0.028,0.018
