,2010,2015
COA_SUB_HC,800.0,800.0
COA_SC_HC,0.0,0.0
COA_USC_HC,0.0,0.0
COA_IGCC_HC,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0
GAS_GT,800.0,300.0
GAS_CC,1800.0,1800.0
GAS_NGCC_POS_CCS,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0
NUK_LWR,0.0,0.0
REW_HYD_LG,350.0,550.0
REW_HYD_PS,100.0,200.0
REW_WND_ON_2530,282.325,1112.775
REW_WND_ON_3035,0.0,0.0
REW_WND_ON_3540,0.0,0.0
REW_WND_ON_40UP,0.0,87.0
REW_PV_UTI,785.0,785.0
REW_PV_RFT,0.0,0.0
BIO_ST,30.0,30.0
BIO_CHP,100.0,100.0
BIO_IGCC_CHP,0.0,0.0
COA_CHP_BP_DH,200.0,200.0
COA_CHP_EC_DH,0.0,0.0
GAS_CHP_BP_DH,100.0,100.0
GAS_CHP_EC_DH,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,100.0
OIL_ST,300.0,300.0
