,2010,2015
COA_SUB_HC,21.6,21.6
COA_SC_HC,0.0,0.0
COA_USC_HC,0.0,0.0
COA_IGCC_HC,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0
GAS_GT,15.2,5.7
GAS_CC,28.8,28.8
GAS_NGCC_POS_CCS,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0
NUK_LWR,0.0,0.0
REW_HYD_LG,10.15,15.95
REW_HYD_PS,4.8,9.6
REW_WND_ON_2530,7.34,28.932
REW_WND_ON_3035,0.0,0.0
REW_WND_ON_3540,0.0,0.0
REW_WND_ON_40UP,0.0,2.019
REW_PV_UTI,14.915,14.915
REW_PV_RFT,0.0,0.0
BIO_ST,1.23,1.23
BIO_CHP,5.1,5.1
BIO_IGCC_CHP,0.0,0.0
COA_CHP_BP_DH,8.0,8.0
COA_CHP_EC_DH,0.0,0.0
GAS_CHP_BP_DH,2.3,2.3
GAS_CHP_EC_DH,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,5.663
OIL_ST,24.0,24.0
