,2010,2015
1,32611.15,37028.55
2,32611.15,37028.55
3,32611.15,37028.55
4,32611.15,37028.55
5,32611.15,37028.55
6,32611.15,37028.55
7,32611.15,37028.55
8,32611.15,37028.55
9,32611.15,37028.55
10,32611.15,37028.55
11,32611.15,37028.55
12,32611.15,37028.55
13,32611.15,37028.55
14,32611.15,37028.55
15,32611.15,37028.55
16,32611.15,37028.55
17,32611.15,37028.55
18,32611.15,37028.55
19,32611.15,37028.55
20,32611.15,37028.55
21,32611.15,37028.55
22,32611.15,37028.55
23,32611.15,37028.55
24,32611.15,37028.55
25,13044.46,14811.42
26,13044.46,14811.42
27,13044.46,14811.42
28,13044.46,14811.42
29,13044.46,14811.42
30,13044.46,14811.42
31,13044.46,14811.42
32,13044.46,14811.42
33,13044.46,14811.42
34,13044.46,14811.42
35,13044.46,14811.42
36,13044.46,14811.42
37,13044.46,14811.42
38,13044.46,14811.42
39,13044.46,14811.42
40,13044.46,14811.42
41,13044.46,14811.42
42,13044.46,14811.42
43,13044.46,14811.42
44,13044.46,14811.42
45,13044.46,14811.42
46,13044.46,14811.42
47,13044.46,14811.42
48,13044.46,14811.42
49,32611.15,37028.55
50,32611.15,37028.55
51,32611.15,37028.55
52,32611.15,37028.55
53,32611.15,37028.55
54,32611.15,37028.55
55,32611.15,37028.55
56,32611.15,37028.55
57,32611.15,37028.55
58,32611.15,37028.55
59,32611.15,37028.55
60,32611.15,37028.55
61,32611.15,37028.55
62,32611.15,37028.55
63,32611.15,37028.55
64,32611.15,37028.55
65,32611.15,37028.55
66,32611.15,37028.55
67,32611.15,37028.55
68,32611.15,37028.55
69,32611.15,37028.55
70,32611.15,37028.55
71,32611.15,37028.55
72,32611.15,37028.55
73,13044.46,14811.42
74,13044.46,14811.42
75,12857.26,14811.42
76,12312.3,14429.48
77,12267.84,14377.22
78,12725.44,14811.42
79,13044.46,14811.42
80,13044.46,14811.42
81,13044.46,14811.42
82,13044.46,14811.42
83,13044.46,14811.42
84,13044.46,14811.42
85,13044.46,14811.42
86,13044.46,14811.42
87,13044.46,14811.42
88,13044.46,14811.42
89,13044.46,14811.42
90,13044.46,14811.42
91,13044.46,14811.42
92,13044.46,14811.42
93,13044.46,14811.42
94,13044.46,14811.42
95,13044.46,14811.42
96,13044.46,14811.42
97,32611.15,37028.55
98,32611.15,37028.55
99,32005.35,37028.55
100,30982.25,36310.3
101,31579.6,37009.7
102,32611.15,37028.55
103,32611.15,37028.55
104,32611.15,37028.55
105,32611.15,37028.55
106,32611.15,37028.55
107,32611.15,37028.55
108,32611.15,37028.55
109,32611.15,37028.55
110,32611.15,37028.55
111,32611.15,37028.55
112,32611.15,37028.55
113,32611.15,37028.55
114,32611.15,37028.55
115,32611.15,37028.55
116,32611.15,37028.55
117,32611.15,37028.55
118,32611.15,37028.55
119,32611.15,37028.55
120,32611.15,37028.55
121,13044.46,14811.42
122,12589.98,14755.0
123,12119.38,14203.54
124,11602.5,13597.48
125,11443.9,13411.58
126,11593.66,13587.34
127,12304.5,14420.38
128,13044.46,14811.42
129,13044.46,14811.42
130,13044.46,14811.42
131,13044.46,14811.42
132,13044.46,14811.42
133,13044.46,14811.42
134,13044.46,14811.42
135,13044.46,14811.42
136,13044.46,14811.42
137,13044.46,14811.42
138,13044.46,14811.42
139,13044.46,14811.42
140,13044.46,14811.42
141,13044.46,14811.42
142,13044.46,14811.42
143,13044.46,14811.42
144,13044.46,14811.42
145,32611.15,37028.55
146,32611.15,37028.55
147,32611.15,37028.55
148,32611.15,37028.55
149,32611.15,37028.55
150,32611.15,37028.55
151,32611.15,37028.55
152,32611.15,37028.55
153,32611.15,37028.55
154,32611.15,37028.55
155,32611.15,37028.55
156,32611.15,37028.55
157,32611.15,37028.55
158,32611.15,37028.55
159,32611.15,37028.55
160,32611.15,37028.55
161,32611.15,37028.55
162,32611.15,37028.55
163,32611.15,37028.55
164,32611.15,37028.55
165,32611.15,37028.55
166,32611.15,37028.55
167,32611.15,37028.55
168,32611.15,37028.55
169,13044.46,14811.42
170,13044.46,14811.42
171,13044.46,14811.42
172,12690.08,14811.42
173,12652.38,14811.42
174,13044.46,14811.42
175,13044.46,14811.42
176,13044.46,14811.42
177,13044.46,14811.42
178,13044.46,14811.42
179,13044.46,14811.42
180,13044.46,14811.42
181,13044.46,14811.42
182,13044.46,14811.42
183,13044.46,14811.42
184,13044.46,14811.42
185,13044.46,14811.42
186,13044.46,14811.42
187,13044.46,14811.42
188,13044.46,14811.42
189,13044.46,14811.42
190,13044.46,14811.42
191,13044.46,14811.42
192,13044.46,14811.42
