,2010,2015
1,1736.87,2120.66
2,1638.23,2005.06
3,1579.09,1935.74
4,1512.88,1858.16
5,1535.67,1884.86
6,1708.32,2087.2
7,1995.48,2423.74
8,2738.08,2786.32
9,2910.44,2921.92
10,2995.85,2988.52
11,2974.47,3037.09
12,3018.03,3066.27
13,3016.35,2960.45
14,2982.64,2924.07
15,2912.01,2882.21
16,2816.18,2859.82
17,2862.61,2933.63
18,3085.74,3113.04
19,3085.54,3088.64
20,2903.49,2938.27
21,2722.37,2704.25
22,2035.27,2470.37
23,2046.56,2483.6
24,1873.41,2280.67
25,1638.62,2005.51
26,1534.75,1883.79
27,1469.0,1806.73
28,1387.29,1710.96
29,1371.82,1692.83
30,1420.84,1750.28
31,1446.78,1780.69
32,1622.19,1986.25
33,1767.21,2156.22
34,1911.26,2325.03
35,2006.75,2436.94
36,2061.18,2537.8
37,1975.55,2400.39
38,1918.93,2334.02
39,1871.26,2278.16
40,1858.32,2262.99
41,1934.54,2369.04
42,2100.39,2546.68
43,2111.92,2560.2
44,2039.7,2475.57
45,1915.88,2330.45
46,1772.93,2162.91
47,1852.85,2256.59
48,1720.18,2101.1
49,1394.49,1719.4
50,1281.63,1587.14
51,1235.09,1532.59
52,1188.98,1478.54
53,1232.63,1529.71
54,1438.52,1771.01
55,1746.65,2132.11
56,1998.31,2555.81
57,2113.84,2678.8
58,2143.87,2660.77
59,2184.74,2756.61
60,2221.03,2818.11
61,2134.14,2586.24
62,2099.87,2546.08
63,2056.5,2495.25
64,2013.73,2445.12
65,1963.68,2386.47
66,1942.79,2361.99
67,1928.42,2345.14
68,1934.83,2352.66
69,1938.94,2357.47
70,1776.53,2167.14
71,1727.77,2110.0
72,1538.88,1888.63
73,1321.99,1634.43
74,1196.77,1487.69
75,1146.22,1428.46
76,1076.67,1346.94
77,1070.98,1340.27
78,1129.4,1408.74
79,1179.44,1467.36
80,1322.93,1635.53
81,1460.78,1797.09
82,1568.71,1923.59
83,1634.24,2000.37
84,1688.64,2064.13
85,1587.3,1945.37
86,1502.63,1846.14
87,1437.59,1769.91
88,1397.82,1723.31
89,1382.97,1705.91
90,1407.5,1734.65
91,1442.65,1775.85
92,1504.6,1848.44
93,1562.64,1916.46
94,1455.23,1790.58
95,1480.99,1820.78
96,1334.5,1649.08
97,1302.42,1611.5
98,1186.09,1475.16
99,1139.19,1420.21
100,1086.95,1359.0
101,1117.45,1394.73
102,1268.06,1571.23
103,1589.54,1947.99
104,1963.03,2269.33
105,2068.42,2448.18
106,2153.98,2535.77
107,2215.72,2623.3
108,2340.13,2738.56
109,2234.8,2599.59
110,2202.56,2566.49
111,2148.43,2510.9
112,2169.84,2463.34
113,2082.46,2403.12
114,1979.39,2589.04
115,1928.05,2531.67
116,1883.35,2381.04
117,1714.05,2093.92
118,1685.76,2060.76
119,1627.05,1991.95
120,1441.77,1774.81
121,1234.23,1579.3
122,1112.12,1436.18
123,1052.04,1365.77
124,986.03,1288.43
125,965.8,1277.47
126,984.94,1289.7
127,1075.67,1393.46
128,1219.9,1562.48
129,1375.75,1745.14
130,1494.71,1884.56
131,1576.34,1980.23
132,1636.44,2019.29
133,1562.45,1963.95
134,1500.82,1891.73
135,1445.19,1826.53
136,1422.55,1799.99
137,1406.33,1753.58
138,1419.87,1796.86
139,1408.61,1764.73
140,1380.31,1740.85
141,1369.48,1737.81
142,1372.98,1741.91
143,1373.24,1742.2
144,1226.66,1536.03
145,1446.56,1780.43
146,1343.18,1659.27
147,1297.3,1605.5
148,1245.35,1544.6
149,1290.21,1597.19
150,1504.64,1848.5
151,1884.42,2293.59
152,2244.72,2635.15
153,2293.1,2721.89
154,2386.6,2738.43
155,2379.12,2777.34
156,2436.39,2803.84
157,2258.3,2695.02
158,2181.91,2642.23
159,2131.73,2583.42
160,2088.67,2532.95
161,2062.21,2501.93
162,2104.48,2551.48
163,2299.41,2704.1
164,2295.77,2707.51
165,2071.8,2513.18
166,1844.37,2246.65
167,1786.44,2178.76
168,1606.37,1967.72
169,1380.16,1702.61
170,1261.25,1563.25
171,1201.1,1492.75
172,1124.88,1403.43
173,1120.08,1397.81
174,1184.91,1473.79
175,1284.61,1590.64
176,1432.76,1764.25
177,1566.28,1920.72
178,1662.79,2033.84
179,1737.02,2120.82
180,1779.28,2170.36
181,1678.41,2052.14
182,1594.52,1953.83
183,1536.94,1886.35
184,1509.45,1854.14
185,1519.39,1865.77
186,1611.85,1974.14
187,1740.58,2125.01
188,1763.25,2151.58
189,1653.92,2023.45
190,1507.3,1851.61
191,1527.31,1875.07
192,1386.99,1710.61
