,2010,2015
1,0.077,0.07
2,0.077,0.068
3,0.077,0.068
4,0.078,0.069
5,0.077,0.068
6,0.077,0.071
7,0.083,0.074
8,0.084,0.107
9,0.082,0.106
10,0.082,0.106
11,0.083,0.093
12,0.083,0.092
13,0.085,0.108
14,0.085,0.108
15,0.084,0.106
16,0.084,0.106
17,0.084,0.107
18,0.082,0.104
19,0.082,0.103
20,0.084,0.103
21,0.082,0.098
22,0.082,0.071
23,0.081,0.07
24,0.082,0.072
25,0.075,0.067
26,0.077,0.066
27,0.076,0.066
28,0.075,0.066
29,0.075,0.066
30,0.076,0.066
31,0.076,0.066
32,0.076,0.066
33,0.075,0.067
34,0.075,0.07
35,0.074,0.069
36,0.074,0.07
37,0.074,0.068
38,0.076,0.069
39,0.076,0.068
40,0.075,0.069
41,0.075,0.07
42,0.081,0.068
43,0.081,0.068
44,0.078,0.069
45,0.075,0.065
46,0.075,0.065
47,0.075,0.065
48,0.074,0.066
49,0.075,0.066
50,0.072,0.066
51,0.073,0.067
52,0.072,0.067
53,0.072,0.067
54,0.076,0.067
55,0.075,0.07
56,0.078,0.068
57,0.077,0.071
58,0.077,0.069
59,0.077,0.069
60,0.078,0.069
61,0.077,0.07
62,0.077,0.071
63,0.078,0.07
64,0.076,0.07
65,0.076,0.07
66,0.077,0.069
67,0.077,0.069
68,0.077,0.068
69,0.077,0.067
70,0.075,0.066
71,0.076,0.067
72,0.077,0.066
73,0.072,0.066
74,0.071,0.066
75,0.07,0.066
76,0.068,0.066
77,0.068,0.066
78,0.07,0.066
79,0.071,0.066
80,0.071,0.065
81,0.073,0.065
82,0.071,0.066
83,0.073,0.066
84,0.073,0.066
85,0.072,0.066
86,0.074,0.068
87,0.073,0.067
88,0.072,0.067
89,0.072,0.066
90,0.071,0.065
91,0.071,0.065
92,0.069,0.064
93,0.07,0.064
94,0.071,0.064
95,0.072,0.064
96,0.072,0.066
97,0.073,0.068
98,0.071,0.067
99,0.07,0.067
100,0.069,0.067
101,0.069,0.067
102,0.072,0.068
103,0.076,0.069
104,0.077,0.07
105,0.079,0.072
106,0.077,0.071
107,0.078,0.072
108,0.079,0.072
109,0.078,0.07
110,0.077,0.072
111,0.077,0.071
112,0.078,0.07
113,0.078,0.07
114,0.076,0.07
115,0.077,0.07
116,0.074,0.07
117,0.074,0.07
118,0.075,0.067
119,0.075,0.069
120,0.076,0.067
121,0.067,0.066
122,0.068,0.067
123,0.068,0.066
124,0.067,0.066
125,0.067,0.066
126,0.067,0.066
127,0.069,0.068
128,0.07,0.068
129,0.071,0.067
130,0.073,0.067
131,0.073,0.067
132,0.073,0.067
133,0.073,0.069
134,0.074,0.068
135,0.076,0.068
136,0.072,0.067
137,0.071,0.066
138,0.073,0.066
139,0.071,0.065
140,0.069,0.065
141,0.069,0.066
142,0.072,0.066
143,0.072,0.066
144,0.069,0.067
145,0.076,0.066
146,0.074,0.066
147,0.073,0.067
148,0.072,0.067
149,0.073,0.067
150,0.077,0.067
151,0.075,0.069
152,0.082,0.077
153,0.081,0.076
154,0.081,0.074
155,0.081,0.071
156,0.082,0.071
157,0.083,0.069
158,0.083,0.07
159,0.082,0.069
160,0.082,0.069
161,0.08,0.069
162,0.081,0.073
163,0.082,0.078
164,0.082,0.081
165,0.079,0.07
166,0.075,0.066
167,0.076,0.066
168,0.076,0.067
169,0.074,0.065
170,0.072,0.066
171,0.071,0.066
172,0.07,0.066
173,0.07,0.066
174,0.071,0.066
175,0.072,0.066
176,0.073,0.065
177,0.073,0.064
178,0.072,0.065
179,0.072,0.065
180,0.073,0.065
181,0.072,0.067
182,0.074,0.066
183,0.073,0.066
184,0.074,0.065
185,0.073,0.065
186,0.074,0.065
187,0.072,0.063
188,0.072,0.062
189,0.073,0.063
190,0.073,0.064
191,0.072,0.064
192,0.073,0.066
