,2010,2015
COA_SC_LN,0.093,0.325
COA_USC_LN,0.0,0.0
COA_IGCC_LN,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0
GAS_GT,0.0,0.226
GAS_CC,0.122,0.107
GAS_NGCC_POS_CCS,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0
NUK_LWR,0.054,0.057
REW_HYD_LG,0.042,0.043
REW_HYD_PS,0.0,0.0
REW_WND_ON_2530,0.062,0.062
REW_WND_ON_3035,0.0,0.044
REW_WND_ON_3540,0.0,0.065
REW_WND_ON_40UP,0.0,0.034
REW_PV_UTI,0.178,0.178
REW_PV_RFT,0.0,0.0
BIO_ST,0.0,0.0
BIO_CHP,0.239,0.283
BIO_IGCC,0.0,0.0
BIO_IGCC_CCS,0.0,0.0
BIO_IGCC_CHP,0.0,0.0
COA_CHP_BP_DH,0.086,0.119
COA_CHP_EC_DH,0.0,0.0
GAS_CHP_BP_DH,0.102,0.103
GAS_CHP_EC_DH,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0
OIL_ST,0.0,0.0
