,2010,2015
1,591.3,591.3
2,591.3,591.3
3,591.3,591.3
4,591.3,591.3
5,591.3,591.3
6,591.3,591.3
7,591.3,591.3
8,591.3,591.3
9,591.3,591.3
10,591.3,591.3
11,591.3,591.3
12,591.3,591.3
13,591.3,591.3
14,591.3,591.3
15,591.3,591.3
16,591.3,591.3
17,591.3,591.3
18,591.3,591.3
19,591.3,591.3
20,591.3,591.3
21,591.3,591.3
22,591.3,591.3
23,591.3,591.3
24,591.3,591.3
25,591.3,591.3
26,591.3,591.3
27,591.3,591.3
28,567.14,591.3
29,562.47,591.3
30,577.25,591.3
31,585.07,591.3
32,591.3,591.3
33,591.3,591.3
34,591.3,591.3
35,591.3,591.3
36,591.3,591.3
37,591.3,591.3
38,591.3,591.3
39,591.3,591.3
40,591.3,591.3
41,591.3,591.3
42,591.3,591.3
43,591.3,591.3
44,591.3,591.3
45,591.3,591.3
46,591.3,591.3
47,591.3,591.3
48,591.3,591.3
49,569.31,591.3
50,535.3,591.3
51,521.28,591.3
52,507.39,591.3
53,520.54,591.3
54,582.57,591.3
55,591.3,591.3
56,591.3,591.3
57,591.3,591.3
58,591.3,591.3
59,591.3,591.3
60,591.3,591.3
61,591.3,591.3
62,591.3,591.3
63,591.3,591.3
64,591.3,591.3
65,591.3,591.3
66,591.3,591.3
67,591.3,591.3
68,591.3,591.3
69,591.3,591.3
70,591.3,591.3
71,591.3,591.3
72,591.3,591.3
73,547.46,591.3
74,509.73,591.3
75,494.5,579.54
76,473.55,554.98
77,471.84,552.97
78,489.44,573.6
79,504.51,591.27
80,547.75,591.3
81,589.28,591.3
82,591.3,591.3
83,591.3,591.3
84,591.3,591.3
85,591.3,591.3
86,591.3,591.3
87,582.29,591.3
88,570.31,591.3
89,565.84,591.3
90,573.23,591.3
91,583.81,591.3
92,591.3,591.3
93,591.3,591.3
94,587.61,591.3
95,591.3,591.3
96,551.23,591.3
97,541.57,591.3
98,506.51,591.3
99,492.39,577.06
100,476.65,558.61
101,485.84,569.38
102,531.21,591.3
103,591.3,591.3
104,591.3,591.3
105,591.3,591.3
106,591.3,591.3
107,591.3,591.3
108,591.3,591.3
109,591.3,591.3
110,591.3,591.3
111,591.3,591.3
112,591.3,591.3
113,591.3,591.3
114,591.3,591.3
115,591.3,591.3
116,591.3,591.3
117,591.3,591.3
118,591.3,591.3
119,591.3,591.3
120,583.55,591.3
121,521.02,591.3
122,484.23,567.49
123,466.13,546.28
124,446.25,522.98
125,440.15,515.83
126,445.91,522.59
127,473.25,554.63
128,516.7,591.3
129,563.66,591.3
130,591.3,591.3
131,591.3,591.3
132,591.3,591.3
133,591.3,591.3
134,591.3,591.3
135,584.58,591.3
136,577.76,591.3
137,572.88,591.3
138,576.96,591.3
139,573.56,591.3
140,565.04,591.3
141,561.77,591.3
142,562.82,591.3
143,562.9,591.3
144,518.74,591.3
145,585.0,591.3
146,553.85,591.3
147,540.02,591.3
148,524.37,591.3
149,537.89,591.3
150,591.3,591.3
151,591.3,591.3
152,591.3,591.3
153,591.3,591.3
154,591.3,591.3
155,591.3,591.3
156,591.3,591.3
157,591.3,591.3
158,591.3,591.3
159,591.3,591.3
160,591.3,591.3
161,591.3,591.3
162,591.3,591.3
163,591.3,591.3
164,591.3,591.3
165,591.3,591.3
166,591.3,591.3
167,591.3,591.3
168,591.3,591.3
169,564.99,591.3
170,529.16,591.3
171,511.04,591.3
172,488.08,572.0
173,486.63,570.31
174,506.16,591.3
175,536.2,591.3
176,580.84,591.3
177,591.3,591.3
178,591.3,591.3
179,591.3,591.3
180,591.3,591.3
181,591.3,591.3
182,591.3,591.3
183,591.3,591.3
184,591.3,591.3
185,591.3,591.3
186,591.3,591.3
187,591.3,591.3
188,591.3,591.3
189,591.3,591.3
190,591.3,591.3
191,591.3,591.3
192,567.04,591.3
