,2010,2015
1,186938.05,261468.35
2,186124.25,249840.5
3,177498.75,247213.85
4,185005.6,233140.7
5,176915.05,241127.9
6,185718.65,256453.6
7,220579.45,278972.2
8,239068.05,340485.6
9,244769.2,357130.15
10,245485.5,357663.8
11,246424.1,326290.25
12,247383.5,329349.8
13,242671.65,359056.1
14,242646.3,360275.5
15,241953.4,348686.0
16,240992.05,346635.9
17,241010.9,359015.15
18,247318.5,371075.9
19,247785.85,365783.6
20,242370.05,365300.0
21,230968.4,340639.0
22,226009.55,295099.35
23,225059.9,294448.05
24,213538.65,273904.15
25,73021.0,101114.26
26,74881.3,91154.18
27,71018.22,90033.06
28,68282.24,93631.2
29,67764.58,93156.18
30,69405.44,88582.26
31,70274.62,88901.28
32,71593.08,100014.98
33,77186.2,103077.0
34,77673.96,111943.26
35,80153.84,115808.94
36,80625.48,118834.56
37,80682.42,108722.38
38,78631.8,107091.92
39,78318.24,106456.74
40,77940.98,109779.8
41,77996.36,112822.32
42,97095.18,122413.2
43,97698.12,119358.72
44,89460.02,117330.98
45,78451.36,110233.5
46,78018.72,108744.22
47,78041.08,108156.36
48,74413.04,103830.74
49,164555.95,238611.1
50,149109.35,222807.65
51,148515.9,219709.75
52,147087.2,216824.4
53,149287.45,226143.45
54,174993.0,214490.9
55,191176.7,246317.5
56,196097.2,261716.65
57,210115.75,281821.8
58,208279.5,274220.05
59,211698.5,279918.6
60,214735.95,283770.5
61,207463.75,286986.05
62,204596.6,283218.65
63,200967.0,283754.9
64,197835.3,282539.4
65,196363.05,272147.85
66,197522.0,280135.7
67,198620.5,279800.3
68,199713.15,267247.5
69,199708.6,275396.55
70,194565.8,263385.2
71,191485.45,254635.55
72,183391.65,230156.55
73,61270.3,92383.98
74,58931.08,90470.12
75,56969.38,89030.24
76,53614.08,87422.4
77,53414.14,86297.12
78,56298.06,85982.52
79,58343.22,87259.9
80,62097.88,93749.76
81,63338.34,95163.9
82,66453.14,94431.22
83,69769.7,101994.1
84,73195.98,99090.94
85,67700.62,104042.9
86,65510.12,97618.3
87,65109.46,97664.32
88,64556.44,96217.16
89,63986.0,95978.22
90,63586.38,94369.08
91,63591.84,94468.92
92,66004.9,101163.66
93,70950.88,103184.9
94,64094.42,97890.0
95,65371.8,97125.6
96,61696.7,93123.94
97,149107.4,207169.95
98,140733.45,217485.45
99,136375.2,216148.4
100,131679.6,202861.75
101,134332.9,213740.8
102,146017.3,201494.8
103,179238.8,225962.75
104,192442.25,245799.45
105,196762.8,263360.5
106,202217.6,262156.05
107,215525.7,274341.6
108,221690.3,286470.6
109,209091.35,272130.3
110,204413.3,268490.3
111,202842.9,265422.3
112,198056.3,261222.65
113,194424.1,258232.65
114,192725.65,255119.8
115,199044.95,249092.35
116,181578.8,244125.05
117,181502.75,246636.0
118,187095.35,237433.95
119,187010.85,230129.25
120,164845.85,208572.0
121,56045.08,90023.96
122,53222.26,83547.62
123,52808.08,82805.84
124,52468.0,81892.72
125,52267.54,81184.22
126,52248.3,80101.84
127,52657.8,82927.0
128,54669.42,80582.84
129,58866.6,85811.44
130,61582.3,89048.44
131,64314.9,91365.3
132,66326.52,92965.6
133,63850.02,91388.44
134,61786.92,91680.16
135,59924.28,96170.1
136,61110.92,95342.78
137,60146.84,93829.32
138,59076.94,87364.42
139,60142.68,86809.32
140,58027.84,85427.94
141,57549.18,84657.56
142,58974.5,86010.86
143,58930.04,86630.18
144,54006.16,88878.14
145,175667.05,237229.2
146,156084.5,234718.25
147,155664.6,221659.75
148,148229.9,220347.4
149,154659.7,220327.25
150,180527.1,223484.95
151,192668.45,269902.1
152,229073.65,301964.0
153,234207.35,290988.75
154,235205.1,283771.15
155,236755.35,291393.05
156,238048.2,296496.2
157,233173.2,282449.7
158,233356.5,278032.3
159,224637.4,275397.85
160,223872.35,272232.35
161,214428.5,269067.5
162,225473.95,282659.0
163,246435.8,312064.35
164,247035.75,311187.5
165,215814.3,298005.5
166,194245.35,266615.7
167,191240.4,261922.05
168,179578.75,236460.25
169,63818.56,93363.4
170,60246.68,91146.64
171,59758.92,90396.28
172,56841.98,89477.7
173,56641.0,88994.88
174,59105.8,89203.4
175,60110.7,89447.28
176,65062.92,95411.42
177,67247.96,91815.1
178,70764.72,93125.76
179,73053.24,95592.9
180,75683.92,97775.86
181,71364.8,96313.36
182,68238.82,100871.94
183,64512.5,100335.04
184,67274.74,99112.0
185,66567.02,98018.7
186,73239.4,94558.62
187,77953.2,99550.36
188,78243.1,101261.68
189,72852.0,103356.5
190,66664.26,97311.24
191,67873.26,101390.12
192,65500.5,93444.52
