,2010,2015
1,112.86,131.67
2,112.86,131.67
3,112.86,131.67
4,112.86,131.67
5,112.86,131.67
6,112.86,131.67
7,112.86,131.67
8,112.86,131.67
9,112.86,131.67
10,112.86,131.67
11,112.86,131.67
12,112.86,131.67
13,112.86,131.67
14,112.86,131.67
15,112.86,131.67
16,112.86,131.67
17,112.86,131.67
18,112.86,131.67
19,112.86,131.67
20,112.86,131.67
21,112.86,131.67
22,112.86,131.67
23,112.86,131.67
24,112.86,131.67
25,94.05,112.86
26,94.05,112.86
27,94.05,112.86
28,94.05,112.86
29,94.05,112.86
30,94.05,112.86
31,94.05,112.86
32,94.05,112.86
33,94.05,112.86
34,94.05,112.86
35,94.05,112.86
36,94.05,112.86
37,94.05,112.86
38,94.05,112.86
39,94.05,112.86
40,94.05,112.86
41,94.05,112.86
42,94.05,112.86
43,94.05,112.86
44,94.05,112.86
45,94.05,112.86
46,94.05,112.86
47,94.05,112.86
48,94.05,112.86
49,94.05,112.86
50,94.05,112.86
51,94.05,112.86
52,94.05,112.86
53,94.05,112.86
54,94.05,112.86
55,94.05,112.86
56,94.05,112.86
57,94.05,112.86
58,94.05,112.86
59,94.05,112.86
60,94.05,112.86
61,94.05,112.86
62,94.05,112.86
63,94.05,112.86
64,94.05,112.86
65,94.05,112.86
66,94.05,112.86
67,94.05,112.86
68,94.05,112.86
69,94.05,112.86
70,94.05,112.86
71,94.05,112.86
72,94.05,112.86
73,82.29,94.05
74,82.29,94.05
75,82.29,94.05
76,82.29,94.05
77,82.29,94.05
78,82.29,94.05
79,82.29,94.05
80,82.29,94.05
81,82.29,94.05
82,82.29,94.05
83,82.29,94.05
84,82.29,94.05
85,82.29,94.05
86,82.29,94.05
87,82.29,94.05
88,82.29,94.05
89,82.29,94.05
90,82.29,94.05
91,82.29,94.05
92,82.29,94.05
93,82.29,94.05
94,82.29,94.05
95,82.29,94.05
96,82.29,94.05
97,94.05,112.86
98,94.05,112.86
99,94.05,112.86
100,94.05,112.86
101,94.05,112.86
102,94.05,112.86
103,94.05,112.86
104,94.05,112.86
105,94.05,112.86
106,94.05,112.86
107,94.05,112.86
108,94.05,112.86
109,94.05,112.86
110,94.05,112.86
111,94.05,112.86
112,94.05,112.86
113,94.05,112.86
114,94.05,112.86
115,94.05,112.86
116,94.05,112.86
117,94.05,112.86
118,94.05,112.86
119,94.05,112.86
120,94.05,112.86
121,82.29,94.05
122,82.29,94.05
123,82.29,94.05
124,82.29,94.05
125,82.29,94.05
126,82.29,94.05
127,82.29,94.05
128,82.29,94.05
129,82.29,94.05
130,82.29,94.05
131,82.29,94.05
132,82.29,94.05
133,82.29,94.05
134,82.29,94.05
135,82.29,94.05
136,82.29,94.05
137,82.29,94.05
138,82.29,94.05
139,82.29,94.05
140,82.29,94.05
141,82.29,94.05
142,82.29,94.05
143,82.29,94.05
144,82.29,94.05
145,103.45,122.26
146,103.45,122.26
147,103.45,122.26
148,103.45,122.26
149,103.45,122.26
150,103.45,122.26
151,103.45,122.26
152,103.45,122.26
153,103.45,122.26
154,103.45,122.26
155,103.45,122.26
156,103.45,122.26
157,103.45,122.26
158,103.45,122.26
159,103.45,122.26
160,103.45,122.26
161,103.45,122.26
162,103.45,122.26
163,103.45,122.26
164,103.45,122.26
165,103.45,122.26
166,103.45,122.26
167,103.45,122.26
168,103.45,122.26
169,82.29,94.05
170,82.29,94.05
171,82.29,94.05
172,82.29,94.05
173,82.29,94.05
174,82.29,94.05
175,82.29,94.05
176,82.29,94.05
177,82.29,94.05
178,82.29,94.05
179,82.29,94.05
180,82.29,94.05
181,82.29,94.05
182,82.29,94.05
183,82.29,94.05
184,82.29,94.05
185,82.29,94.05
186,82.29,94.05
187,82.29,94.05
188,82.29,94.05
189,82.29,94.05
190,82.29,94.05
191,82.29,94.05
192,82.29,94.05
