,2010,2015
1,0.109,0.036
2,0.093,0.035
3,0.092,0.033
4,0.087,0.031
5,0.09,0.031
6,0.109,0.036
7,0.111,0.067
8,0.116,0.095
9,0.119,0.091
10,0.122,0.095
11,0.12,0.122
12,0.117,0.11
13,0.116,0.075
14,0.116,0.075
15,0.115,0.092
16,0.121,0.098
17,0.12,0.101
18,0.125,0.107
19,0.125,0.107
20,0.12,0.086
21,0.116,0.067
22,0.111,0.055
23,0.111,0.055
24,0.095,0.042
25,0.035,0.012
26,0.033,0.012
27,0.03,0.012
28,0.024,0.011
29,0.022,0.011
30,0.026,0.012
31,0.028,0.012
32,0.034,0.012
33,0.036,0.013
34,0.036,0.013
35,0.035,0.013
36,0.035,0.013
37,0.035,0.015
38,0.035,0.015
39,0.035,0.015
40,0.038,0.013
41,0.044,0.015
42,0.038,0.018
43,0.038,0.018
44,0.038,0.015
45,0.039,0.015
46,0.038,0.013
47,0.038,0.015
48,0.037,0.012
49,0.05,0.029
50,0.048,0.027
51,0.044,0.027
52,0.036,0.026
53,0.045,0.027
54,0.053,0.03
55,0.082,0.034
56,0.083,0.037
57,0.083,0.037
58,0.069,0.036
59,0.066,0.036
60,0.068,0.035
61,0.068,0.033
62,0.068,0.033
63,0.068,0.033
64,0.08,0.035
65,0.083,0.033
66,0.068,0.033
67,0.068,0.033
68,0.068,0.036
69,0.068,0.033
70,0.082,0.031
71,0.082,0.031
72,0.061,0.031
73,0.015,0.011
74,0.009,0.01
75,0.009,0.01
76,0.008,0.01
77,0.008,0.01
78,0.009,0.01
79,0.009,0.01
80,0.01,0.011
81,0.01,0.012
82,0.011,0.012
83,0.011,0.012
84,0.011,0.012
85,0.011,0.012
86,0.011,0.012
87,0.01,0.012
88,0.01,0.012
89,0.01,0.011
90,0.015,0.012
91,0.016,0.012
92,0.016,0.012
93,0.02,0.012
94,0.016,0.012
95,0.017,0.012
96,0.014,0.011
97,0.04,0.028
98,0.032,0.026
99,0.025,0.025
100,0.021,0.024
101,0.021,0.025
102,0.037,0.027
103,0.049,0.031
104,0.059,0.036
105,0.055,0.035
106,0.052,0.033
107,0.061,0.033
108,0.052,0.034
109,0.062,0.033
110,0.052,0.033
111,0.055,0.034
112,0.066,0.036
113,0.069,0.036
114,0.08,0.036
115,0.083,0.036
116,0.079,0.033
117,0.067,0.031
118,0.06,0.031
119,0.057,0.031
120,0.045,0.03
121,0.009,0.011
122,0.009,0.01
123,0.008,0.009
124,0.008,0.009
125,0.008,0.009
126,0.008,0.009
127,0.008,0.01
128,0.009,0.011
129,0.01,0.011
130,0.011,0.012
131,0.011,0.012
132,0.011,0.012
133,0.011,0.012
134,0.011,0.012
135,0.01,0.012
136,0.01,0.012
137,0.01,0.012
138,0.01,0.012
139,0.01,0.012
140,0.01,0.011
141,0.01,0.011
142,0.01,0.011
143,0.01,0.011
144,0.009,0.011
145,0.058,0.03
146,0.049,0.028
147,0.048,0.028
148,0.043,0.027
149,0.048,0.027
150,0.07,0.031
151,0.098,0.036
152,0.111,0.055
153,0.111,0.067
154,0.097,0.067
155,0.094,0.053
156,0.09,0.046
157,0.086,0.045
158,0.087,0.047
159,0.091,0.042
160,0.096,0.054
161,0.111,0.056
162,0.111,0.055
163,0.096,0.056
164,0.096,0.055
165,0.111,0.041
166,0.095,0.034
167,0.095,0.032
168,0.083,0.031
169,0.018,0.011
170,0.014,0.011
171,0.009,0.01
172,0.009,0.01
173,0.009,0.01
174,0.009,0.01
175,0.015,0.011
176,0.018,0.012
177,0.016,0.012
178,0.017,0.012
179,0.017,0.012
180,0.017,0.012
181,0.016,0.012
182,0.015,0.012
183,0.016,0.012
184,0.016,0.012
185,0.017,0.012
186,0.021,0.012
187,0.023,0.012
188,0.025,0.012
189,0.021,0.012
190,0.02,0.012
191,0.02,0.012
192,0.019,0.011
