,2010,2015
COA_SUB_LN,122.384,122.384
COA_SC_LN,70.371,70.371
COA_USC_LN,0.0,0.0
COA_IGCC_LN,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0
GAS_GT,29.314,14.657
GAS_CC,20.117,40.234
GAS_NGCC_POS_CCS,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0
NUK_LWR,681.351,681.351
REW_HYD_LG,158.485,158.485
REW_HYD_PS,26.095,26.095
REW_WND_ON_3035,144.743,144.743
REW_WND_ON_3540,0.0,88.908
REW_WND_ON_40UP,0.0,88.908
REW_WND_OFF_4045,0.0,178.8
REW_WND_OFF_4550,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0
REW_PV_UTI,342.828,342.828
REW_PV_RFT,0.0,0.0
REW_PV_CSP,0.0,0.0
REW_PV_CSP_6h,0.0,0.0
BIO_ST,32.193,32.193
BIO_CHP,11.805,11.805
BIO_IGCC,0.0,0.0
BIO_IGCC_CCS,0.0,0.0
BIO_IGCC_CHP,0.0,0.0
COA_CHP_BP_DH,52.555,52.555
COA_CHP_EC_DH,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0
OIL_ST,20.817,31.225
