,2010,2015
1,0.078,0.074
2,0.075,0.074
3,0.075,0.074
4,0.074,0.073
5,0.074,0.073
6,0.078,0.075
7,0.076,0.087
8,0.081,0.116
9,0.091,0.113
10,0.102,0.12
11,0.105,0.144
12,0.094,0.134
13,0.092,0.108
14,0.09,0.107
15,0.094,0.118
16,0.095,0.119
17,0.09,0.119
18,0.103,0.123
19,0.102,0.122
20,0.089,0.104
21,0.081,0.086
22,0.076,0.081
23,0.075,0.08
24,0.076,0.076
25,0.071,0.071
26,0.072,0.072
27,0.071,0.072
28,0.069,0.072
29,0.068,0.072
30,0.069,0.072
31,0.071,0.072
32,0.071,0.072
33,0.076,0.075
34,0.08,0.079
35,0.083,0.082
36,0.085,0.084
37,0.087,0.085
38,0.085,0.082
39,0.08,0.08
40,0.076,0.073
41,0.073,0.07
42,0.07,0.105
43,0.07,0.122
44,0.07,0.069
45,0.071,0.069
46,0.072,0.069
47,0.071,0.07
48,0.072,0.069
49,0.065,0.07
50,0.065,0.07
51,0.065,0.07
52,0.064,0.069
53,0.065,0.07
54,0.067,0.072
55,0.073,0.073
56,0.076,0.087
57,0.082,0.095
58,0.084,0.084
59,0.085,0.085
60,0.087,0.086
61,0.088,0.086
62,0.086,0.084
63,0.082,0.081
64,0.079,0.079
65,0.075,0.073
66,0.068,0.069
67,0.066,0.067
68,0.065,0.068
69,0.065,0.067
70,0.068,0.068
71,0.069,0.068
72,0.066,0.07
73,0.061,0.066
74,0.058,0.065
75,0.058,0.065
76,0.058,0.066
77,0.058,0.064
78,0.06,0.066
79,0.064,0.071
80,0.07,0.078
81,0.078,0.085
82,0.084,0.092
83,0.086,0.093
84,0.087,0.094
85,0.087,0.093
86,0.085,0.092
87,0.082,0.088
88,0.076,0.084
89,0.067,0.075
90,0.062,0.068
91,0.059,0.065
92,0.059,0.065
93,0.06,0.065
94,0.059,0.064
95,0.059,0.064
96,0.059,0.065
97,0.063,0.069
98,0.063,0.069
99,0.062,0.069
100,0.061,0.068
101,0.062,0.069
102,0.066,0.073
103,0.071,0.076
104,0.076,0.08
105,0.08,0.083
106,0.083,0.084
107,0.086,0.086
108,0.085,0.086
109,0.087,0.086
110,0.084,0.084
111,0.08,0.083
112,0.079,0.08
113,0.074,0.075
114,0.071,0.072
115,0.068,0.069
116,0.066,0.067
117,0.064,0.065
118,0.063,0.066
119,0.064,0.068
120,0.062,0.07
121,0.057,0.064
122,0.058,0.064
123,0.058,0.064
124,0.058,0.064
125,0.058,0.064
126,0.062,0.068
127,0.07,0.075
128,0.077,0.083
129,0.083,0.09
130,0.088,0.093
131,0.089,0.095
132,0.089,0.095
133,0.09,0.095
134,0.088,0.094
135,0.084,0.091
136,0.077,0.083
137,0.07,0.078
138,0.063,0.07
139,0.058,0.066
140,0.056,0.064
141,0.056,0.063
142,0.055,0.063
143,0.055,0.063
144,0.058,0.064
145,0.068,0.072
146,0.065,0.071
147,0.065,0.071
148,0.065,0.071
149,0.065,0.071
150,0.07,0.072
151,0.073,0.072
152,0.075,0.08
153,0.079,0.088
154,0.082,0.092
155,0.084,0.088
156,0.085,0.086
157,0.086,0.087
158,0.084,0.087
159,0.081,0.081
160,0.078,0.085
161,0.076,0.081
162,0.072,0.078
163,0.069,0.077
164,0.069,0.077
165,0.072,0.071
166,0.072,0.07
167,0.072,0.069
168,0.071,0.072
169,0.062,0.068
170,0.061,0.067
171,0.059,0.068
172,0.06,0.069
173,0.062,0.069
174,0.06,0.069
175,0.062,0.068
176,0.066,0.072
177,0.071,0.077
178,0.077,0.081
179,0.082,0.084
180,0.084,0.086
181,0.084,0.088
182,0.082,0.089
183,0.078,0.085
184,0.07,0.077
185,0.064,0.071
186,0.062,0.066
187,0.063,0.066
188,0.064,0.066
189,0.061,0.066
190,0.061,0.067
191,0.061,0.066
192,0.062,0.068
