,2010,2015
COA_SUB_LN,0.12,0.499
COA_SC_LN,0.093,0.242
COA_USC_LN,0.0,0.0
COA_IGCC_LN,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0
GAS_GT,0.595,4.099
GAS_CC,0.206,0.114
GAS_NGCC_POS_CCS,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0
NUK_LWR,0.058,0.069
REW_HYD_LG,0.042,0.042
REW_HYD_PS,0.0,0.0
REW_WND_ON_3035,0.053,0.053
REW_WND_ON_3540,0.0,0.039
REW_WND_ON_40UP,0.0,0.034
REW_WND_OFF_4045,0.0,0.109
REW_WND_OFF_4550,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0
REW_PV_UTI,0.16,0.16
REW_PV_RFT,0.0,0.0
REW_PV_CSP,0.0,0.0
REW_PV_CSP_6h,0.0,0.0
BIO_ST,0.0,0.0
BIO_CHP,0.257,0.289
BIO_IGCC,0.0,0.0
BIO_IGCC_CCS,0.0,0.0
BIO_IGCC_CHP,0.0,0.0
COA_CHP_BP_DH,0.088,0.12
COA_CHP_EC_DH,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0
OIL_ST,0.0,0.0
