,2010,2015
COA_SUB_LN,10.228,1.333
COA_SC_LN,13.198,2.855
COA_USC_LN,0.0,0.0
COA_IGCC_LN,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0
GAS_GT,0.085,0.005
GAS_CC,0.594,2.391
GAS_NGCC_POS_CCS,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0
NUK_LWR,67.787,54.864
REW_HYD_LG,4.93,4.93
REW_HYD_PS,0.311,0.311
REW_WND_ON_3035,3.397,3.397
REW_WND_ON_3540,0.0,2.921
REW_WND_ON_40UP,0.0,3.295
REW_WND_OFF_4045,0.0,2.352
REW_WND_OFF_4550,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0
REW_PV_UTI,2.414,2.414
REW_PV_RFT,0.0,0.0
REW_PV_CSP,0.0,0.0
REW_PV_CSP_6h,0.0,0.0
BIO_ST,0.0,0.0
BIO_CHP,0.286,0.39
BIO_IGCC,0.0,0.0
BIO_IGCC_CCS,0.0,0.0
BIO_IGCC_CHP,0.0,0.0
COA_CHP_BP_DH,7.862,8.088
COA_CHP_EC_DH,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0
OIL_ST,0.0,0.0
