,2010,2015
COA_SUB_LN,331.427,187.224
COA_SC_LN,246.368,138.447
COA_USC_LN,0.0,0.0
COA_IGCC_LN,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0
GAS_GT,50.845,20.965
GAS_CC,40.756,160.539
GAS_NGCC_POS_CCS,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0
NUK_LWR,1004.857,980.68
REW_HYD_LG,206.914,206.914
REW_HYD_PS,33.606,33.606
REW_WND_ON_3035,179.34,179.34
REW_WND_ON_3540,0.0,112.714
REW_WND_ON_40UP,0.0,113.088
REW_WND_OFF_4045,0.0,256.752
REW_WND_OFF_4550,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0
REW_PV_UTI,387.043,387.043
REW_PV_RFT,0.0,0.0
REW_PV_CSP,0.0,0.0
REW_PV_CSP_6h,0.0,0.0
BIO_ST,40.393,40.393
BIO_CHP,73.412,112.843
BIO_IGCC,0.0,0.0
BIO_IGCC_CCS,0.0,0.0
BIO_IGCC_CHP,0.0,0.0
COA_CHP_BP_DH,300.585,417.663
COA_CHP_EC_DH,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0
OIL_ST,33.617,50.425
