,2010,2015
1,588.4,620.42
2,562.39,620.42
3,546.8,620.42
4,529.34,620.37
5,535.35,620.42
6,580.87,620.42
7,620.42,620.42
8,620.42,620.42
9,620.42,620.42
10,620.42,620.42
11,620.42,620.42
12,620.42,620.42
13,620.42,620.42
14,620.42,620.42
15,620.42,620.42
16,620.42,620.42
17,620.42,620.42
18,620.42,620.42
19,620.42,620.42
20,620.42,620.42
21,620.42,620.42
22,620.42,620.42
23,620.42,620.42
24,620.42,620.42
25,562.5,620.42
26,535.11,620.42
27,517.78,606.82
28,496.23,581.57
29,492.16,576.79
30,505.08,591.93
31,511.92,599.95
32,558.16,620.42
33,596.4,620.42
34,620.42,620.42
35,620.42,620.42
36,620.42,620.42
37,620.42,620.42
38,620.42,620.42
39,620.42,620.42
40,620.42,620.42
41,620.42,620.42
42,620.42,620.42
43,620.42,620.42
44,620.42,620.42
45,620.42,620.42
46,597.91,620.42
47,618.97,620.42
48,584.0,620.42
49,498.13,583.79
50,468.38,548.92
51,456.11,534.54
52,443.96,520.3
53,455.47,533.78
54,509.74,597.39
55,590.98,620.42
56,620.42,620.42
57,620.42,620.42
58,620.42,620.42
59,620.42,620.42
60,620.42,620.42
61,620.42,620.42
62,620.42,620.42
63,620.42,620.42
64,620.42,620.42
65,620.42,620.42
66,620.42,620.42
67,620.42,620.42
68,620.42,620.42
69,620.42,620.42
70,598.85,620.42
71,586.0,620.42
72,536.2,620.42
73,479.02,561.39
74,446.01,522.7
75,432.68,507.09
76,414.35,485.6
77,412.85,483.84
78,428.25,501.89
79,441.44,517.35
80,479.27,561.68
81,515.61,604.28
82,544.07,620.42
83,561.34,620.42
84,575.68,620.42
85,548.96,620.42
86,526.65,617.21
87,509.5,597.11
88,499.01,584.82
89,495.1,580.24
90,501.56,587.81
91,510.83,598.67
92,527.16,617.82
93,542.46,620.42
94,514.14,602.56
95,520.94,610.52
96,482.32,565.25
97,473.86,555.34
98,443.19,519.4
99,430.83,504.91
100,417.06,488.78
101,425.1,498.2
102,464.8,544.73
103,549.56,620.42
104,620.42,620.42
105,620.42,620.42
106,620.42,620.42
107,620.42,620.42
108,620.42,620.42
109,620.42,620.42
110,620.42,620.42
111,620.42,620.42
112,620.42,620.42
113,620.42,620.42
114,620.42,620.42
115,620.42,620.42
116,604.49,620.42
117,582.38,620.42
118,574.92,620.42
119,559.45,620.42
120,510.6,598.4
121,455.89,534.28
122,423.69,496.55
123,407.86,477.99
124,390.45,457.6
125,385.12,451.34
126,390.16,457.26
127,414.08,485.29
128,452.11,529.85
129,493.2,578.0
130,524.55,614.76
131,546.08,620.42
132,561.92,620.42
133,542.42,620.42
134,526.17,616.65
135,511.5,599.45
136,505.53,592.46
137,501.26,587.45
138,504.83,591.64
139,501.86,588.16
140,494.4,579.41
141,491.54,576.06
142,492.46,577.14
143,492.53,577.23
144,453.89,531.94
145,511.86,599.88
146,484.61,567.94
147,472.51,553.76
148,458.82,537.71
149,470.64,551.57
150,527.17,617.83
151,620.42,620.42
152,620.42,620.42
153,620.42,620.42
154,620.42,620.42
155,620.42,620.42
156,620.42,620.42
157,620.42,620.42
158,620.42,620.42
159,620.42,620.42
160,620.42,620.42
161,620.42,620.42
162,620.42,620.42
163,620.42,620.42
164,620.42,620.42
165,620.42,620.42
166,616.74,620.42
167,601.47,620.42
168,553.99,620.42
169,494.36,579.37
170,463.01,542.63
171,447.15,524.04
172,427.06,500.49
173,425.8,499.01
174,442.88,519.04
175,469.17,549.84
176,508.22,595.62
177,543.42,620.42
178,568.87,620.42
179,588.44,620.42
180,599.58,620.42
181,572.98,620.42
182,550.87,620.42
183,535.69,620.42
184,528.44,619.31
185,531.06,620.42
186,555.44,620.42
187,589.38,620.42
188,595.35,620.42
189,566.53,620.42
190,527.87,618.64
191,533.15,620.42
192,496.15,581.47
