,2010,2015
1,4302.44,4405.94
2,4061.18,4313.75
3,4027.89,4055.34
4,3948.35,3935.18
5,3987.48,3937.25
6,4277.06,4368.34
7,4433.06,5167.98
8,4891.39,5722.66
9,5200.99,5874.8
10,5333.8,6065.93
11,5456.5,6567.62
12,5512.66,6495.56
13,5462.49,5960.79
14,5331.07,5833.36
15,5067.24,5884.66
16,5068.98,5848.84
17,5024.36,5881.15
18,5212.35,6048.91
19,5227.0,6095.14
20,5053.44,5799.31
21,4786.92,5341.2
22,4505.82,5035.47
23,4526.71,5068.7
24,4129.58,4703.32
25,4164.28,4119.96
26,3959.7,4028.26
27,3821.83,3916.04
28,3570.17,3367.26
29,3523.78,3312.76
30,3675.98,3739.21
31,3755.66,3857.09
32,4136.07,4107.47
33,4385.15,4614.98
34,4632.52,4817.35
35,4796.49,4991.83
36,4890.0,5108.2
37,4742.95,5213.29
38,4645.69,5102.5
39,4563.83,4895.93
40,4476.58,4622.47
41,4672.52,4767.58
42,4506.21,5143.16
43,4526.35,5217.94
44,4518.83,4969.42
45,4538.04,4889.71
46,4317.49,4333.84
47,4431.67,4761.38
48,4290.94,4266.06
49,3577.96,3307.99
50,3513.07,3191.35
51,3324.89,3152.43
52,3153.97,3116.91
53,3311.5,3115.85
54,3632.2,3897.46
55,4338.78,4654.27
56,4735.12,5178.91
57,4963.23,5432.03
58,4990.75,5669.67
59,5102.2,5678.23
60,5155.66,5750.36
61,5015.32,5649.84
62,4956.45,5563.43
63,4874.17,5436.92
64,4808.5,5187.11
65,4640.37,4993.23
66,4307.38,4813.86
67,4225.0,4748.03
68,4226.17,4938.45
69,4237.57,4807.84
70,4363.7,4381.27
71,4296.17,4362.69
72,3909.29,4049.5
73,3427.34,3470.27
74,3083.25,2910.08
75,2948.04,2820.07
76,2790.75,2720.61
77,2780.39,2747.46
78,2918.0,2775.57
79,3061.46,2875.19
80,3401.38,3164.03
81,3783.67,3512.08
82,4015.45,3717.22
83,4156.78,3891.96
84,4250.17,3979.44
85,4025.78,3942.13
86,3840.47,3823.32
87,3671.32,3629.2
88,3531.88,3366.9
89,3509.25,3284.87
90,3618.73,3633.85
91,3765.61,3633.77
92,3831.55,3690.55
93,3880.39,3735.81
94,3783.57,3699.52
95,3845.92,3704.11
96,3448.91,3531.89
97,3479.84,3269.41
98,3119.31,3064.5
99,2988.27,3028.63
100,2842.44,2995.8
101,2931.29,3006.79
102,3401.13,3260.93
103,3949.3,4353.54
104,4550.89,5013.1
105,4812.98,5363.4
106,4941.35,5611.42
107,5069.59,5769.53
108,5175.22,5831.73
109,5034.87,5724.63
110,4986.35,5661.04
111,4904.89,5483.69
112,4835.19,5466.15
113,4710.33,5291.62
114,4697.62,5026.8
115,4560.13,4831.97
116,4437.84,4628.03
117,4244.74,4406.78
118,4156.33,4375.93
119,3951.81,4271.01
120,3650.37,3941.52
121,3111.12,2985.45
122,2806.57,2759.69
123,2524.16,2706.86
124,2338.31,2658.05
125,2285.43,2639.85
126,2354.49,2672.54
127,2715.02,2892.36
128,3140.01,3207.15
129,3521.65,3518.99
130,3715.75,3805.27
131,3947.28,3973.86
132,4117.92,4039.96
133,3900.82,3977.48
134,3816.61,3849.75
135,3655.34,3658.46
136,3615.02,3572.44
137,3588.58,3331.87
138,3598.6,3359.13
139,3515.58,3553.72
140,3571.26,3522.34
141,3533.84,3567.81
142,3486.17,3597.05
143,3486.5,3603.58
144,3158.81,2970.23
145,3657.12,3521.53
146,3516.89,3225.92
147,3495.98,3199.7
148,3397.09,3175.47
149,3490.27,3190.77
150,3846.55,4079.46
151,4483.99,4739.46
152,4987.71,5462.05
153,5173.26,5923.63
154,5135.93,6068.39
155,5295.34,6068.75
156,5334.16,6064.25
157,5174.69,5868.35
158,5097.31,5799.05
159,5011.14,5632.3
160,4834.79,5469.35
161,4864.35,5406.03
162,4871.78,5400.7
163,4688.01,5494.16
164,4693.0,5500.01
165,4859.87,5165.77
166,4432.66,4703.41
167,4404.62,4582.61
168,4108.87,4147.14
169,3608.44,3487.39
170,3335.19,3039.87
171,3101.92,2918.8
172,2889.93,2765.41
173,2879.25,2755.73
174,3063.22,2886.17
175,3451.59,3439.86
176,3758.94,3596.59
177,4026.53,3934.84
178,4205.81,4241.65
179,4333.3,4477.68
180,4405.84,4568.36
181,4232.62,4346.28
182,4088.55,3710.62
183,3989.66,3594.74
184,3942.44,3868.56
185,3836.53,3701.62
186,3871.94,4079.74
187,4134.02,4321.68
188,4213.25,4350.63
189,4048.71,3892.4
190,3935.9,3691.49
191,3973.16,3723.27
192,3614.23,3503.83
