,2010,2015
1,439.97,455.87
2,439.97,455.87
3,439.97,455.87
4,439.97,455.87
5,439.97,455.87
6,439.97,455.87
7,439.97,455.87
8,439.97,455.87
9,439.97,455.87
10,439.97,455.87
11,439.97,455.87
12,439.97,455.87
13,439.97,455.87
14,439.97,455.87
15,439.97,455.87
16,439.97,455.87
17,439.97,455.87
18,439.97,455.87
19,439.97,455.87
20,439.97,455.87
21,439.97,455.87
22,439.97,455.87
23,439.97,455.87
24,439.97,455.87
25,508.88,530.09
26,508.88,530.09
27,508.88,530.09
28,508.88,530.09
29,508.88,530.09
30,508.88,530.09
31,508.88,530.09
32,508.88,530.09
33,508.88,530.09
34,508.88,530.09
35,508.88,530.09
36,508.88,530.09
37,508.88,530.09
38,508.88,530.09
39,508.88,530.09
40,508.88,530.09
41,508.88,530.09
42,508.88,530.09
43,508.88,530.09
44,508.88,530.09
45,508.88,530.09
46,508.88,530.09
47,508.88,530.09
48,508.88,530.09
49,455.87,530.09
50,455.87,530.09
51,455.87,530.09
52,455.87,530.09
53,455.87,530.09
54,455.87,530.09
55,455.87,530.09
56,455.87,530.09
57,455.87,530.09
58,455.87,530.09
59,455.87,530.09
60,455.87,530.09
61,455.87,530.09
62,455.87,530.09
63,455.87,530.09
64,455.87,530.09
65,455.87,530.09
66,455.87,530.09
67,455.87,530.09
68,455.87,530.09
69,455.87,530.09
70,455.87,530.09
71,455.87,530.09
72,455.87,530.09
73,429.37,530.09
74,429.37,530.09
75,429.37,530.09
76,429.37,530.09
77,429.37,530.09
78,429.37,530.09
79,429.37,530.09
80,429.37,530.09
81,429.37,530.09
82,429.37,530.09
83,429.37,530.09
84,429.37,530.09
85,429.37,530.09
86,429.37,530.09
87,429.37,530.09
88,429.37,530.09
89,429.37,530.09
90,429.37,530.09
91,429.37,530.09
92,429.37,530.09
93,429.37,530.09
94,429.37,530.09
95,429.37,530.09
96,429.37,530.09
97,530.09,530.1
98,530.09,530.1
99,530.09,530.1
100,530.09,530.1
101,530.09,530.1
102,530.09,530.1
103,530.09,530.1
104,530.09,530.1
105,530.09,530.1
106,530.09,530.1
107,530.09,530.1
108,530.09,530.1
109,530.09,530.1
110,530.09,530.1
111,530.09,530.1
112,530.09,530.1
113,530.09,530.1
114,530.09,530.1
115,530.09,530.1
116,530.09,530.1
117,530.09,530.1
118,530.09,530.1
119,530.09,530.1
120,530.09,530.1
121,530.09,530.09
122,530.09,530.09
123,530.09,530.09
124,530.09,530.09
125,530.09,530.09
126,530.09,530.09
127,530.09,530.09
128,530.09,530.09
129,530.09,530.09
130,530.09,530.09
131,530.09,530.09
132,530.09,530.09
133,530.09,530.09
134,530.09,530.09
135,530.09,530.09
136,530.09,530.09
137,530.09,530.09
138,530.09,530.09
139,530.09,530.09
140,530.09,530.09
141,530.09,530.09
142,530.09,530.09
143,530.09,530.09
144,530.09,530.09
145,455.87,530.09
146,455.87,530.09
147,455.87,530.09
148,455.87,530.09
149,455.87,530.09
150,455.87,530.09
151,455.87,530.09
152,455.87,530.09
153,455.87,530.09
154,455.87,530.09
155,455.87,530.09
156,455.87,530.09
157,455.87,530.09
158,455.87,530.09
159,455.87,530.09
160,455.87,530.09
161,455.87,530.09
162,455.87,530.09
163,455.87,530.09
164,455.87,530.09
165,455.87,530.09
166,455.87,530.09
167,455.87,530.09
168,455.87,530.09
169,429.37,530.09
170,429.37,530.09
171,429.37,530.09
172,429.37,530.09
173,429.37,530.09
174,429.37,530.09
175,429.37,530.09
176,429.37,530.09
177,429.37,530.09
178,429.37,530.09
179,429.37,530.09
180,429.37,530.09
181,429.37,530.09
182,429.37,530.09
183,429.37,530.09
184,429.37,530.09
185,429.37,530.09
186,429.37,530.09
187,429.37,530.09
188,429.37,530.09
189,429.37,530.09
190,429.37,530.09
191,429.37,530.09
192,429.37,530.09
