,2010,2015
COA_SUB_LN,1200.0,1200.0
COA_SC_LN,0.0,0.0
COA_USC_LN,0.0,0.0
COA_IGCC_LN,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0
GAS_GT,900.0,900.0
GAS_CC,300.0,600.0
GAS_NGCC_POS_CCS,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0
NUK_LWR,2400.0,2400.0
REW_HYD_LG,1500.0,1500.0
REW_HYD_PS,200.0,200.0
REW_WND_ON_3035,600.0,888.0
REW_WND_ON_3540,0.0,864.0
REW_WND_ON_40UP,0.0,864.0
REW_PV_UTI,0.0,300.0
REW_PV_RFT,0.0,0.0
REW_PV_CSP,0.0,0.0
REW_PV_CSP_6h,0.0,0.0
REW_GEO_FLA,0.0,0.0
REW_GEO_BIN,300.0,300.0
REW_GEO_EGS,0.0,0.0
BIO_ST,300.0,300.0
BIO_CHP,120.0,120.0
BIO_IGCC,0.0,0.0
BIO_IGCC_CCS,0.0,0.0
BIO_IGCC_CHP,0.0,0.0
COA_CHP_BP_DH,300.0,300.0
COA_CHP_EC_DH,0.0,0.0
GAS_CHP_BP_DH,150.0,150.0
GAS_CHP_EC_DH,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0
OIL_ST,300.0,150.0
