,2010,2015
1,40066.65,44866.25
2,38296.05,44866.25
3,37234.6,43637.1
4,36045.75,42244.15
5,36455.25,42723.85
6,39554.45,44866.25
7,44709.6,44866.25
8,44866.25,44866.25
9,44866.25,44866.25
10,44866.25,44866.25
11,44866.25,44866.25
12,44866.25,44866.25
13,44866.25,44866.25
14,44866.25,44866.25
15,44866.25,44866.25
16,44866.25,44866.25
17,44866.25,44866.25
18,44866.25,44866.25
19,44866.25,44866.25
20,44866.25,44866.25
21,44866.25,44866.25
22,44866.25,44866.25
23,44866.25,44866.25
24,42518.45,44866.25
25,15321.28,17946.5
26,14575.34,17081.74
27,14103.44,16528.46
28,13516.62,15840.76
29,13405.34,15710.5
30,13757.38,16123.12
31,13943.8,16341.52
32,15203.24,17817.54
33,16244.8,17946.5
34,17279.08,17946.5
35,17946.5,17946.5
36,17946.5,17946.5
37,17740.84,17946.5
38,17334.2,17946.5
39,16991.78,17946.5
40,16898.96,17946.5
41,17446.26,17946.5
42,17946.5,17946.5
43,17946.5,17946.5
44,17946.5,17946.5
45,17312.36,17946.5
46,16285.88,17946.5
47,16859.7,17946.5
48,15906.8,17946.5
49,33920.25,39753.35
50,31894.2,37378.9
51,31058.95,36400.0
52,30230.85,35429.55
53,31014.75,36348.0
54,34710.65,40679.6
55,40242.8,44866.25
56,44760.3,44866.25
57,44866.25,44866.25
58,44866.25,44866.25
59,44866.25,44866.25
60,44866.25,44866.25
61,44866.25,44866.25
62,44866.25,44866.25
63,44866.25,44866.25
64,44866.25,44866.25
65,44138.9,44866.25
66,43763.85,44866.25
67,43505.15,44866.25
68,43620.85,44866.25
69,43694.3,44866.25
70,40779.05,44866.25
71,39903.5,44866.25
72,36512.45,42791.45
73,13047.58,15291.12
74,12148.5,14237.34
75,11785.54,13811.98
76,11286.08,13226.72
77,11245.26,13178.88
78,11664.64,13670.54
79,12023.96,14091.48
80,13054.34,15299.18
81,14044.42,16459.3
82,14819.22,17367.74
83,15289.82,17918.94
84,15680.34,17946.5
85,14952.6,17524.0
86,14344.98,16811.6
87,13877.76,16264.04
88,13592.28,15929.42
89,13485.68,15804.36
90,13661.7,16010.8
91,13913.9,16306.42
92,14359.02,16827.98
93,14775.54,17316.52
94,14004.38,16412.5
95,14189.24,16629.34
96,13137.28,15396.42
97,32267.95,37816.35
98,30179.5,35369.1
99,29337.1,34382.4
100,28399.8,33283.25
101,28947.1,33924.8
102,31650.45,37092.9
103,37421.8,43857.45
104,42344.25,44866.25
105,44866.25,44866.25
106,44866.25,44866.25
107,44866.25,44866.25
108,44866.25,44866.25
109,44866.25,44866.25
110,44866.25,44866.25
111,44866.25,44866.25
112,44866.25,44866.25
113,44393.7,44866.25
114,43878.25,44866.25
115,42762.2,44866.25
116,41162.55,44866.25
117,39657.15,44866.25
118,39149.5,44866.25
119,38095.2,44646.55
120,34769.15,40747.85
121,12417.34,14552.72
122,11540.62,13524.94
123,11109.28,13019.5
124,10635.3,12464.14
125,10489.96,12293.84
126,10627.24,12454.78
127,11278.8,13218.4
128,12314.38,14432.08
129,13433.68,15743.52
130,14287.78,16744.78
131,14874.08,17431.7
132,15305.68,17937.66
133,14774.24,17314.96
134,14331.98,16796.26
135,13932.1,16328.0
136,13769.6,16137.42
137,13653.38,16000.92
138,13750.62,16115.06
139,13669.76,16020.16
140,13466.44,15782.0
141,13388.44,15690.74
142,13413.66,15720.12
143,13415.74,15722.46
144,12363.0,14489.02
145,34855.6,40849.25
146,32999.85,38673.7
147,32175.65,37708.45
148,31242.9,36615.8
149,32048.25,37558.95
150,35898.2,42071.25
151,42716.05,44866.25
152,44866.25,44866.25
153,44866.25,44866.25
154,44866.25,44866.25
155,44866.25,44866.25
156,44866.25,44866.25
157,44866.25,44866.25
158,44866.25,44866.25
159,44866.25,44866.25
160,44866.25,44866.25
161,44866.25,44866.25
162,44866.25,44866.25
163,44866.25,44866.25
164,44866.25,44866.25
165,44866.25,44866.25
166,41996.5,44866.25
167,40956.5,44866.25
168,37724.05,44211.05
169,13465.4,15780.7
170,12611.56,14779.96
171,12179.44,14274.0
172,11632.14,13632.58
173,11597.82,13592.28
174,12063.22,14137.5
175,12779.26,14976.52
176,13842.92,16223.22
177,14801.8,17347.2
178,15494.96,17946.5
179,16027.96,17946.5
180,16331.38,17946.5
181,15607.02,17946.5
182,15004.6,17584.84
183,14591.2,17100.2
184,14393.86,16868.8
185,14465.1,16952.26
186,15128.88,17730.7
187,16053.44,17946.5
188,16216.2,17946.5
189,15431.26,17946.5
190,14378.26,16850.6
191,14522.04,17019.08
192,13514.28,15838.16
