,2010,2015
1,244843.3,279925.75
2,231228.4,262475.2
3,224120.65,260798.85
4,201621.55,259046.45
5,214123.0,259046.45
6,239036.2,277187.95
7,281097.7,305145.1
8,298287.6,318050.85
9,303982.25,332788.3
10,310097.45,340026.7
11,317915.0,353596.75
12,316317.3,360200.75
13,294643.7,336977.55
14,293857.85,333022.3
15,302879.85,328473.6
16,302907.15,326037.4
17,326004.9,334061.0
18,349498.5,365487.85
19,340345.2,360345.7
20,321515.35,334566.05
21,288340.65,317720.65
22,283013.9,311825.15
23,286055.9,314316.6
24,270726.95,296848.5
25,91328.64,108891.12
26,82127.76,106420.86
27,81559.14,101056.54
28,80870.4,100179.3
29,80708.16,99872.76
30,81088.8,100259.38
31,81312.92,100562.54
32,91499.72,107957.2
33,97060.6,112364.2
34,107699.28,118772.94
35,112574.28,123980.22
36,116305.8,124733.7
37,109630.04,120881.28
38,107324.88,117327.34
39,103958.4,116521.08
40,105012.7,118460.16
41,109173.74,122072.6
42,114377.12,126835.54
43,114651.16,129569.44
44,114363.08,127757.24
45,109908.5,119278.9
46,98654.66,114865.14
47,105402.44,115716.9
48,96570.76,114001.68
49,210073.5,252395.65
50,195575.9,242775.65
51,194149.8,235366.3
52,192634.0,227839.95
53,193486.15,228407.4
54,209416.35,253628.7
55,241190.95,282406.8
56,287155.7,314127.45
57,293408.05,319580.3
58,302616.6,326128.4
59,304400.2,331228.95
60,308914.45,334393.8
61,298902.5,315292.9
62,295176.7,312440.05
63,290965.35,304671.9
64,285361.05,306785.7
65,282464.65,311818.0
66,296551.45,308091.55
67,296424.7,307588.45
68,297205.35,309992.8
69,297721.45,311841.4
70,245241.1,293776.6
71,237888.3,286323.05
72,213584.8,263836.3
73,83697.9,97478.94
74,79768.26,88130.38
75,79114.36,85017.14
76,78120.38,80364.7
77,77897.3,80967.64
78,78523.64,86524.88
79,78812.24,89751.22
80,83656.56,96211.96
81,89299.34,107236.22
82,93301.0,117752.7
83,94273.66,116048.4
84,95016.74,122630.56
85,94030.3,109757.44
86,90728.04,108547.66
87,87583.6,102630.58
88,86911.5,100494.42
89,86264.36,99396.96
90,86821.8,103213.76
91,87304.36,106294.76
92,90697.88,106069.6
93,91495.04,108394.0
94,87862.84,103990.9
95,88097.88,107084.12
96,84230.38,97868.94
97,204028.5,253645.6
98,200444.4,226530.85
99,199102.15,217328.15
100,197441.4,218843.3
101,198254.55,214832.15
102,201778.2,247607.1
103,230595.95,266362.2
104,255240.7,301405.0
105,283492.95,315504.8
106,291708.95,327243.8
107,293553.65,331453.85
108,295036.95,334375.6
109,293539.35,329312.75
110,293070.7,327013.05
111,285936.95,324680.2
112,278818.8,315640.65
113,277305.6,311598.95
114,276043.3,307145.15
115,258909.95,302595.15
116,254411.3,292080.75
117,247111.8,286545.35
118,238559.1,287784.9
119,233978.55,281021.65
120,219485.5,257905.7
121,86535.02,91935.22
122,82425.46,87388.34
123,82861.74,82723.16
124,79991.6,77700.22
125,79112.28,76585.86
126,79944.02,79374.62
127,80932.28,84724.12
128,85411.3,100145.24
129,90229.1,108980.3
130,96944.12,116485.98
131,98141.42,121142.32
132,99019.7,122077.28
133,98119.58,120259.62
134,94883.1,114382.06
135,94154.58,104806.26
136,91243.62,103591.28
137,90929.02,103651.86
138,93397.72,111408.96
139,93116.66,110949.02
140,90353.9,109781.88
141,90483.12,109577.52
142,90707.76,108527.9
143,90776.4,107926.52
144,86416.72,92390.48
145,209580.8,258371.75
146,206982.75,244735.4
147,194810.2,247484.25
148,192910.25,237046.55
149,194039.3,247221.0
150,210120.3,256341.15
151,272186.85,302318.9
152,286955.5,327272.4
153,294017.75,334843.6
154,294435.05,337671.75
155,295389.9,341755.05
156,296152.35,344959.55
157,288787.85,338692.9
158,281978.45,331565.65
159,281087.95,327136.55
160,280132.45,325453.05
161,279731.4,323297.0
162,280941.05,325120.25
163,307045.05,335979.15
164,307435.7,337499.5
165,281532.55,313410.5
166,261730.3,293725.9
167,248974.7,285641.85
168,225089.15,275284.75
169,83529.94,101752.3
170,79725.36,93250.56
171,78971.36,88591.88
172,78157.82,82658.16
173,78053.56,82705.22
174,78665.08,88318.36
175,79703.26,97053.06
176,84789.12,104447.72
177,91916.24,112718.84
178,95475.38,117202.28
179,98901.14,119182.7
180,99509.02,120652.22
181,96075.72,117952.38
182,92750.06,113584.64
183,92063.66,108910.88
184,87147.58,107655.6
185,91795.6,109659.42
186,95405.44,112685.56
187,99515.0,119748.72
188,99934.38,120506.62
189,96333.12,114805.86
190,87672.0,109279.56
191,87925.5,106999.1
192,82509.44,102287.64
