,2010,2015,2020
1,0.339,0.183,0.171
2,0.306,0.154,0.156
3,0.289,0.15,0.151
4,0.285,0.145,0.141
5,0.28,0.146,0.146
6,0.332,0.185,0.171
7,0.384,0.229,0.214
8,0.415,0.327,0.296
9,0.42,0.332,0.31
10,0.422,0.332,0.317
11,0.422,0.352,0.322
12,0.418,0.346,0.32
13,0.411,0.309,0.293
14,0.411,0.312,0.302
15,0.415,0.323,0.303
16,0.421,0.327,0.304
17,0.43,0.338,0.32
18,0.452,0.371,0.356
19,0.447,0.361,0.339
20,0.432,0.319,0.306
21,0.407,0.266,0.254
22,0.384,0.218,0.211
23,0.384,0.217,0.21
24,0.363,0.203,0.194
25,0.112,0.059,0.06
26,0.105,0.056,0.054
27,0.097,0.055,0.051
28,0.087,0.053,0.047
29,0.085,0.053,0.047
30,0.091,0.054,0.049
31,0.095,0.055,0.05
32,0.112,0.059,0.06
33,0.118,0.06,0.062
34,0.13,0.067,0.069
35,0.129,0.067,0.071
36,0.132,0.067,0.073
37,0.127,0.065,0.068
38,0.126,0.064,0.067
39,0.124,0.064,0.067
40,0.13,0.066,0.068
41,0.137,0.068,0.071
42,0.141,0.074,0.08
43,0.141,0.075,0.079
44,0.138,0.07,0.074
45,0.136,0.063,0.068
46,0.123,0.06,0.062
47,0.129,0.062,0.066
48,0.117,0.059,0.059
49,0.2,0.132,0.115
50,0.178,0.126,0.103
51,0.174,0.123,0.102
52,0.159,0.121,0.1
53,0.175,0.124,0.102
54,0.218,0.135,0.126
55,0.28,0.155,0.158
56,0.322,0.168,0.183
57,0.322,0.174,0.188
58,0.314,0.165,0.183
59,0.312,0.167,0.182
60,0.321,0.164,0.184
61,0.297,0.157,0.168
62,0.298,0.154,0.168
63,0.297,0.154,0.168
64,0.318,0.159,0.17
65,0.323,0.161,0.17
66,0.316,0.164,0.176
67,0.319,0.162,0.173
68,0.32,0.162,0.171
69,0.32,0.159,0.17
70,0.285,0.147,0.149
71,0.28,0.146,0.145
72,0.236,0.139,0.133
73,0.066,0.049,0.041
74,0.054,0.047,0.04
75,0.053,0.046,0.039
76,0.047,0.045,0.038
77,0.047,0.044,0.038
78,0.052,0.046,0.039
79,0.055,0.047,0.04
80,0.057,0.049,0.041
81,0.06,0.05,0.041
82,0.062,0.051,0.041
83,0.067,0.052,0.041
84,0.069,0.052,0.041
85,0.06,0.051,0.041
86,0.06,0.051,0.041
87,0.06,0.05,0.041
88,0.059,0.05,0.041
89,0.059,0.049,0.041
90,0.065,0.05,0.041
91,0.068,0.05,0.041
92,0.07,0.051,0.041
93,0.08,0.052,0.043
94,0.069,0.05,0.041
95,0.073,0.051,0.041
96,0.065,0.049,0.041
97,0.174,0.127,0.113
98,0.148,0.12,0.1
99,0.133,0.117,0.098
100,0.129,0.113,0.095
101,0.135,0.116,0.097
102,0.164,0.125,0.111
103,0.222,0.141,0.14
104,0.267,0.161,0.171
105,0.275,0.162,0.178
106,0.271,0.158,0.177
107,0.29,0.161,0.182
108,0.284,0.166,0.189
109,0.285,0.155,0.177
110,0.271,0.157,0.174
111,0.273,0.159,0.176
112,0.285,0.159,0.174
113,0.284,0.16,0.177
114,0.303,0.166,0.182
115,0.294,0.166,0.182
116,0.277,0.159,0.17
117,0.262,0.15,0.156
118,0.242,0.145,0.15
119,0.236,0.144,0.144
120,0.203,0.134,0.124
121,0.05,0.047,0.041
122,0.049,0.045,0.039
123,0.049,0.043,0.037
124,0.046,0.042,0.035
125,0.045,0.041,0.035
126,0.046,0.042,0.035
127,0.048,0.044,0.038
128,0.052,0.047,0.04
129,0.055,0.048,0.041
130,0.062,0.05,0.041
131,0.064,0.051,0.041
132,0.065,0.051,0.041
133,0.063,0.05,0.041
134,0.063,0.05,0.041
135,0.062,0.05,0.041
136,0.058,0.049,0.041
137,0.055,0.049,0.041
138,0.06,0.049,0.041
139,0.061,0.049,0.043
140,0.056,0.049,0.041
141,0.055,0.048,0.041
142,0.06,0.048,0.041
143,0.06,0.048,0.041
144,0.05,0.047,0.04
145,0.223,0.136,0.122
146,0.19,0.13,0.111
147,0.187,0.128,0.104
148,0.172,0.125,0.102
149,0.186,0.127,0.104
150,0.243,0.14,0.134
151,0.332,0.169,0.179
152,0.368,0.221,0.222
153,0.367,0.23,0.226
154,0.355,0.226,0.223
155,0.351,0.212,0.216
156,0.347,0.206,0.217
157,0.339,0.197,0.198
158,0.339,0.198,0.198
159,0.341,0.193,0.197
160,0.347,0.206,0.2
161,0.36,0.21,0.204
162,0.364,0.213,0.209
163,0.378,0.224,0.225
164,0.377,0.223,0.223
165,0.359,0.195,0.197
166,0.318,0.154,0.163
167,0.312,0.151,0.162
168,0.271,0.146,0.144
169,0.075,0.051,0.041
170,0.065,0.05,0.041
171,0.059,0.049,0.04
172,0.052,0.047,0.039
173,0.052,0.046,0.039
174,0.057,0.048,0.04
175,0.066,0.05,0.041
176,0.075,0.052,0.043
177,0.076,0.053,0.047
178,0.078,0.053,0.046
179,0.08,0.053,0.047
180,0.083,0.053,0.047
181,0.074,0.053,0.046
182,0.074,0.053,0.043
183,0.072,0.053,0.041
184,0.074,0.052,0.043
185,0.076,0.053,0.046
186,0.086,0.053,0.048
187,0.093,0.055,0.052
188,0.096,0.055,0.052
189,0.087,0.054,0.047
190,0.079,0.052,0.043
191,0.08,0.053,0.044
192,0.077,0.051,0.041
