,2010,2015,2020
1,0.0,0.002,0.013
2,0.0,0.002,0.013
3,0.0,0.002,0.013
4,0.0,0.002,0.013
5,0.0,0.002,0.013
6,0.0,0.002,0.013
7,0.0,0.002,0.013
8,0.0,0.002,0.013
9,0.0,0.002,0.013
10,0.0,0.002,0.013
11,0.0,0.002,0.013
12,0.0,0.002,0.013
13,0.0,0.002,0.013
14,0.0,0.002,0.013
15,0.0,0.002,0.013
16,0.0,0.002,0.013
17,0.0,0.002,0.013
18,0.0,0.002,0.013
19,0.0,0.002,0.013
20,0.0,0.002,0.013
21,0.0,0.002,0.013
22,0.0,0.002,0.013
23,0.0,0.002,0.013
24,0.0,0.002,0.013
25,0.0,0.001,0.005
26,0.0,0.001,0.005
27,0.0,0.001,0.005
28,0.0,0.001,0.005
29,0.0,0.001,0.005
30,0.0,0.001,0.005
31,0.0,0.001,0.005
32,0.0,0.001,0.005
33,0.0,0.001,0.005
34,0.0,0.001,0.005
35,0.0,0.001,0.005
36,0.0,0.001,0.005
37,0.0,0.001,0.005
38,0.0,0.001,0.005
39,0.0,0.001,0.005
40,0.0,0.001,0.005
41,0.0,0.001,0.005
42,0.0,0.001,0.005
43,0.0,0.001,0.005
44,0.0,0.001,0.005
45,0.0,0.001,0.005
46,0.0,0.001,0.005
47,0.0,0.001,0.005
48,0.0,0.001,0.005
49,0.0,0.002,0.013
50,0.0,0.002,0.013
51,0.0,0.002,0.013
52,0.0,0.002,0.013
53,0.0,0.002,0.013
54,0.0,0.002,0.013
55,0.0,0.002,0.013
56,0.0,0.002,0.013
57,0.0,0.002,0.013
58,0.0,0.002,0.013
59,0.0,0.002,0.013
60,0.0,0.002,0.013
61,0.0,0.002,0.013
62,0.0,0.002,0.013
63,0.0,0.002,0.013
64,0.0,0.002,0.013
65,0.0,0.002,0.013
66,0.0,0.002,0.013
67,0.0,0.002,0.013
68,0.0,0.002,0.013
69,0.0,0.002,0.013
70,0.0,0.002,0.013
71,0.0,0.002,0.013
72,0.0,0.002,0.013
73,0.0,0.001,0.005
74,0.0,0.001,0.005
75,0.0,0.001,0.005
76,0.0,0.001,0.005
77,0.0,0.001,0.005
78,0.0,0.001,0.005
79,0.0,0.001,0.005
80,0.0,0.001,0.005
81,0.0,0.001,0.005
82,0.0,0.001,0.005
83,0.0,0.001,0.005
84,0.0,0.001,0.005
85,0.0,0.001,0.005
86,0.0,0.001,0.005
87,0.0,0.001,0.005
88,0.0,0.001,0.005
89,0.0,0.001,0.005
90,0.0,0.001,0.005
91,0.0,0.001,0.005
92,0.0,0.001,0.005
93,0.0,0.001,0.005
94,0.0,0.001,0.005
95,0.0,0.001,0.005
96,0.0,0.001,0.005
97,0.0,0.002,0.013
98,0.0,0.002,0.013
99,0.0,0.002,0.013
100,0.0,0.002,0.013
101,0.0,0.002,0.013
102,0.0,0.002,0.013
103,0.0,0.002,0.013
104,0.0,0.002,0.013
105,0.0,0.002,0.013
106,0.0,0.002,0.013
107,0.0,0.002,0.013
108,0.0,0.002,0.013
109,0.0,0.002,0.013
110,0.0,0.002,0.013
111,0.0,0.002,0.013
112,0.0,0.002,0.013
113,0.0,0.002,0.013
114,0.0,0.002,0.013
115,0.0,0.002,0.013
116,0.0,0.002,0.013
117,0.0,0.002,0.013
118,0.0,0.002,0.013
119,0.0,0.002,0.013
120,0.0,0.002,0.013
121,0.0,0.001,0.005
122,0.0,0.001,0.005
123,0.0,0.001,0.005
124,0.0,0.001,0.005
125,0.0,0.001,0.005
126,0.0,0.001,0.005
127,0.0,0.001,0.005
128,0.0,0.001,0.005
129,0.0,0.001,0.005
130,0.0,0.001,0.005
131,0.0,0.001,0.005
132,0.0,0.001,0.005
133,0.0,0.001,0.005
134,0.0,0.001,0.005
135,0.0,0.001,0.005
136,0.0,0.001,0.005
137,0.0,0.001,0.005
138,0.0,0.001,0.005
139,0.0,0.001,0.005
140,0.0,0.001,0.005
141,0.0,0.001,0.005
142,0.0,0.001,0.005
143,0.0,0.001,0.005
144,0.0,0.001,0.005
145,0.0,0.002,0.013
146,0.0,0.002,0.013
147,0.0,0.002,0.013
148,0.0,0.002,0.013
149,0.0,0.002,0.013
150,0.0,0.002,0.013
151,0.0,0.002,0.013
152,0.0,0.002,0.013
153,0.0,0.002,0.013
154,0.0,0.002,0.013
155,0.0,0.002,0.013
156,0.0,0.002,0.013
157,0.0,0.002,0.013
158,0.0,0.002,0.013
159,0.0,0.002,0.013
160,0.0,0.002,0.013
161,0.0,0.002,0.013
162,0.0,0.002,0.013
163,0.0,0.002,0.013
164,0.0,0.002,0.013
165,0.0,0.002,0.013
166,0.0,0.002,0.013
167,0.0,0.002,0.013
168,0.0,0.002,0.013
169,0.0,0.001,0.005
170,0.0,0.001,0.005
171,0.0,0.001,0.005
172,0.0,0.001,0.005
173,0.0,0.001,0.005
174,0.0,0.001,0.005
175,0.0,0.001,0.005
176,0.0,0.001,0.005
177,0.0,0.001,0.005
178,0.0,0.001,0.005
179,0.0,0.001,0.005
180,0.0,0.001,0.005
181,0.0,0.001,0.005
182,0.0,0.001,0.005
183,0.0,0.001,0.005
184,0.0,0.001,0.005
185,0.0,0.001,0.005
186,0.0,0.001,0.005
187,0.0,0.001,0.005
188,0.0,0.001,0.005
189,0.0,0.001,0.005
190,0.0,0.001,0.005
191,0.0,0.001,0.005
192,0.0,0.001,0.005
