,2010,2015,2020
COA_SUB_HC,27.02,4.359,0.0
COA_SC_HC,0.0,0.0,0.0
COA_USC_HC,0.0,0.0,0.0
COA_IGCC_HC,0.0,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0,0.0
COA_SUB_LN,29.063,2.692,3.029
COA_SC_LN,29.882,3.97,0.0
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,0.273,0.611,3.414
GAS_CC,12.816,29.418,25.757
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,121.892,106.473,126.586
REW_HYD_LG,12.653,15.282,11.996
REW_HYD_SM,0.0,0.0,0.0
REW_HYD_PS,1.1,1.307,1.307
REW_WND_ON_2025,0.0,0.0,0.0
REW_WND_ON_2530,1.928,3.217,3.837
REW_WND_ON_3035,5.171,8.839,8.109
REW_WND_ON_3540,0.0,10.359,12.716
REW_WND_ON_40UP,0.0,10.455,12.947
REW_WND_OFF_2025,0.0,0.0,0.0
REW_WND_OFF_2530,0.0,0.0,0.0
REW_WND_OFF_3035,0.0,0.0,0.0
REW_WND_OFF_3540,0.0,0.0,0.0
REW_WND_OFF_4045,0.0,2.352,2.352
REW_WND_OFF_4550,0.0,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0,0.0
REW_PV_UTI,3.474,3.871,3.871
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
REW_GEO_FLA,0.0,0.0,0.0
REW_GEO_BIN,1.872,1.872,1.872
REW_GEO_EGS,0.0,0.0,0.0
BIO_ST,0.0,0.0,0.0
BIO_CHP,2.54,2.872,3.495
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,12.879,13.105,7.332
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,3.777,3.782,3.782
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.772,4.631
OIL_ST,0.0,0.0,0.0
