,2010,2015,2020
COA_SUB_HC,514.873,213.069,0.0
COA_SC_HC,0.0,0.0,0.0
COA_USC_HC,0.0,0.0,0.0
COA_IGCC_HC,0.0,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0,0.0
COA_SUB_LN,748.468,394.304,330.373
COA_SC_LN,681.756,259.385,83.655
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,203.589,231.549,789.862
GAS_CC,820.414,1496.307,2048.778
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,2661.69,2636.98,3116.666
REW_HYD_LG,531.08,644.734,510.092
REW_HYD_SM,0.0,0.0,0.0
REW_HYD_PS,118.74,141.144,141.144
REW_WND_ON_2025,0.0,0.0,0.0
REW_WND_ON_2530,134.226,257.275,287.985
REW_WND_ON_3035,269.086,429.757,380.943
REW_WND_ON_3540,0.0,517.023,634.844
REW_WND_ON_40UP,0.0,358.133,464.542
REW_WND_OFF_2025,0.0,0.0,0.0
REW_WND_OFF_2530,0.0,0.0,0.0
REW_WND_OFF_3035,0.0,0.0,0.0
REW_WND_OFF_3540,0.0,0.0,0.0
REW_WND_OFF_4045,0.0,256.752,256.752
REW_WND_OFF_4550,0.0,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0,0.0
REW_PV_UTI,551.57,620.151,620.151
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
REW_GEO_FLA,0.0,0.0,0.0
REW_GEO_BIN,51.53,51.53,51.53
REW_GEO_EGS,0.0,0.0,0.0
BIO_ST,177.729,177.729,177.729
BIO_CHP,619.896,820.32,1164.068
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,734.105,1014.846,904.421
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,387.008,388.063,464.615
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,79.071,509.704
OIL_ST,191.194,176.486,113.456
