,2010,2015,2020
COA_SUB_HC,0.0,0.0,0.0
COA_SC_HC,0.0,0.0,0.0
COA_USC_HC,0.0,0.0,0.0
COA_IGCC_HC,0.0,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0,0.0
COA_SUB_LN,97.907,97.907,0.0
COA_SC_LN,112.593,112.593,0.0
COA_USC_LN,127.279,127.279,127.279
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,29.314,14.657,14.657
GAS_CC,53.645,53.645,53.645
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,0.0,0.0,0.0
REW_HYD_LG,105.656,158.485,105.656
REW_HYD_SM,0.0,0.0,0.0
REW_HYD_PS,17.396,17.396,17.396
REW_WND_ON_2025,0.0,0.0,0.0
REW_WND_ON_2530,36.186,72.371,72.371
REW_WND_ON_3035,0.0,0.0,0.0
REW_WND_ON_3540,0.0,0.0,0.0
REW_WND_ON_40UP,0.0,0.0,0.0
REW_WND_OFF_2025,0.0,0.0,0.0
REW_WND_OFF_2530,0.0,0.0,0.0
REW_WND_OFF_3035,0.0,0.0,0.0
REW_WND_OFF_3540,0.0,0.0,0.0
REW_WND_OFF_4045,0.0,0.0,0.0
REW_WND_OFF_4550,0.0,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0,0.0
REW_PV_UTI,46.749,93.499,93.499
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
REW_GEO_FLA,9.338,86.84,140.583
REW_GEO_BIN,3.736,7.471,7.471
REW_GEO_EGS,0.0,0.0,0.0
BIO_ST,24.145,48.289,48.289
BIO_CHP,118.048,118.048,118.048
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,70.074,70.074,70.074
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,16.673,33.345,33.345
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0,0.0
OIL_ST,78.062,78.062,78.062
