,2010,2015,2020
COA_SUB_HC,0.0,0.0,0.0
COA_SC_HC,0.0,0.0,0.0
COA_USC_HC,0.0,0.0,0.0
COA_IGCC_HC,0.0,0.0,0.0
COA_USC_POS_CCS_HC,0.0,0.0,0.0
COA_USC_OXY_CCS_HC,0.0,0.0,0.0
COA_USC_PRE_CCS_HC,0.0,0.0,0.0
COA_SUB_LN,21.6,21.6,0.0
COA_SC_LN,24.8,24.8,0.0
COA_USC_LN,28.0,28.0,28.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,11.4,5.7,5.7
GAS_CC,12.8,12.8,12.8
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,0.0,0.0,0.0
REW_HYD_LG,29.0,43.5,29.0
REW_HYD_SM,0.0,0.0,0.0
REW_HYD_PS,4.8,4.8,4.8
REW_WND_ON_2025,0.0,0.0,0.0
REW_WND_ON_2530,7.8,15.6,15.6
REW_WND_ON_3035,0.0,0.0,0.0
REW_WND_ON_3540,0.0,0.0,0.0
REW_WND_ON_40UP,0.0,0.0,0.0
REW_WND_OFF_2025,0.0,0.0,0.0
REW_WND_OFF_2530,0.0,0.0,0.0
REW_WND_OFF_3035,0.0,0.0,0.0
REW_WND_OFF_3540,0.0,0.0,0.0
REW_WND_OFF_4045,0.0,0.0,0.0
REW_WND_OFF_4550,0.0,0.0,0.0
REW_WND_OFF_50UP,0.0,0.0,0.0
REW_PV_UTI,5.7,11.4,11.4
REW_PV_RFT,0.0,0.0,0.0
REW_PV_CSP,0.0,0.0,0.0
REW_PV_CSP_6h,0.0,0.0,0.0
REW_GEO_FLA,3.06,28.44,46.04
REW_GEO_BIN,1.23,2.46,2.46
REW_GEO_EGS,0.0,0.0,0.0
BIO_ST,6.15,12.3,12.3
BIO_CHP,30.6,30.6,30.6
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,24.0,24.0,24.0
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,6.9,13.8,13.8
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0,0.0
OIL_ST,48.0,48.0,48.0
